日期,日出方位角,日中天仰角,日落方位角
20240101,115,43,245
20240102,115,43,245
20240103,115,43,245
20240104,115,43,245
20240105,115,43,245
20240106,114,43,246
20240107,114,44,246
20240108,114,44,246
20240109,114,44,246
20240110,114,44,246
20240111,114,44,246
20240112,114,44,247
20240113,113,44,247
20240114,113,44,247
20240115,113,45,247
20240116,113,45,247
20240117,113,45,248
20240118,112,45,248
20240119,112,46,248
20240120,112,46,248
20240121,112,46,248
20240122,111,46,249
20240123,111,46,249
20240124,111,47,249
20240125,111,47,249
20240126,110,47,250
20240127,110,47,250
20240128,110,48,250
20240129,110,48,251
20240130,109,48,251
20240131,109,49,251
20240201,109,49,252
20240202,108,49,252
20240203,108,49,252
20240204,108,50,252
20240205,107,50,253
20240206,107,50,253
20240207,107,51,253
20240208,106,51,254
20240209,106,51,254
20240210,106,52,255
20240211,105,52,255
20240212,105,52,255
20240213,105,52,256
20240214,104,53,256
20240215,104,53,256
20240216,103,54,257
20240217,103,54,257
20240218,103,54,258
20240219,102,55,258
20240220,102,55,258
20240221,102,55,259
20240222,101,56,259
20240223,101,56,259
20240224,100,56,260
20240225,100,57,260
20240226,99,57,261
20240227,99,57,261
20240228,99,58,262
20240229,98,58,262
20240301,98,59,262
20240302,97,59,263
20240303,97,59,263
20240304,97,60,264
20240305,96,60,264
20240306,96,61,264
20240307,95,61,265
20240308,95,61,265
20240309,94,62,266
20240310,94,62,266
20240311,94,26,267
20240312,93,63,267
20240313,93,63,267
20240314,92,64,268
20240315,92,64,268
20240316,91,64,269
20240317,91,65,269
20240318,91,65,270
20240319,90,66,270
20240320,90,66,270
20240321,89,66,271
20240322,89,67,271
20240323,88,67,272
20240324,88,68,272
20240325,88,68,273
20240326,87,68,273
20240327,87,69,274
20240328,86,69,274
20240329,86,70,274
20240330,85,70,275
20240331,85,70,275
20240401,85,71,276
20240402,84,71,276
20240403,84,72,276
20240404,83,72,277
20240405,83,72,277
20240406,82,73,278
20240407,82,73,278
20240408,82,73,279
20240409,81,74,279
20240410,81,74,279
20240411,80,75,280
20240412,80,75,280
20240413,80,75,281
20240414,79,76,281
20240415,79,76,281
20240416,78,76,282
20240417,78,77,282
20240418,78,77,283
20240419,77,77,283
20240420,77,78,283
20240421,77,78,284
20240422,76,78,284
20240423,76,79,284
20240424,75,79,285
20240425,75,79,285
20240426,75,80,285
20240427,74,80,286
20240428,74,80,286
20240429,74,81,286
20240430,73,81,287
20240501,73,81,287
20240502,73,82,287
20240503,72,82,288
20240504,72,82,288
20240505,72,82,288
20240506,71,83,289
20240507,71,83,289
20240508,71,83,289
20240509,71,84,290
20240510,70,84,290
20240511,70,84,290
20240512,70,84,291
20240513,69,85,291
20240514,69,85,291
20240515,69,85,291
20240516,69,85,292
20240517,68,85,292
20240518,68,86,292
20240519,68,86,292
20240520,68,86,293
20240521,67,86,293
20240522,67,86,293
20240523,67,87,293
20240524,67,87,293
20240525,67,87,294
20240526,66,87,294
20240527,66,87,294
20240528,66,88,294
20240529,66,88,294
20240530,66,88,294
20240531,65,88,295
20240601,65,88,295
20240602,65,88,295
20240603,65,88,295
20240604,65,89,295
20240605,65,89,295
20240606,65,89,295
20240607,65,89,296
20240608,64,89,296
20240609,64,89,296
20240610,64,89,296
20240611,64,89,296
20240612,64,89,296
20240613,64,89,296
20240614,64,89,296
20240615,64,89,296
20240616,64,89,296
20240617,64,89,296
20240618,64,89,296
20240619,64,89,296
20240620,64,89,296
20240621,64,89,296
20240622,64,89,296
20240623,64,89,296
20240624,64,89,296
20240625,64,89,296
20240626,64,89,296
20240627,64,89,296
20240628,64,89,296
20240629,64,89,296
20240630,64,89,296
20240701,64,89,296
20240702,64,89,296
20240703,64,89,296
20240704,64,89,296
20240705,65,89,295
20240706,65,89,295
20240707,65,89,295
20240708,65,88,295
20240709,65,88,295
20240710,65,88,295
20240711,65,88,295
20240712,65,88,294
20240713,66,88,294
20240714,66,88,294
20240715,66,87,294
20240716,66,87,294
20240717,66,87,294
20240718,67,87,293
20240719,67,87,293
20240720,67,87,293
20240721,67,86,293
20240722,67,86,293
20240723,68,86,292
20240724,68,86,292
20240725,68,86,292
20240726,68,85,292
20240727,69,85,291
20240728,69,85,291
20240729,69,85,291
20240730,69,84,291
20240731,70,84,290
20240801,70,84,290
20240802,70,84,290
20240803,70,83,289
20240804,71,83,289
20240805,71,83,289
20240806,71,83,288
20240807,72,82,288
20240808,72,82,288
20240809,72,82,288
20240810,73,81,287
20240811,73,81,287
20240812,73,81,287
20240813,74,81,286
20240814,74,80,286
20240815,74,80,286
20240816,75,80,285
20240817,75,79,285
20240818,75,79,284
20240819,76,79,284
20240820,76,78,284
20240821,76,78,283
20240822,77,78,283
20240823,77,77,283
20240824,78,77,282
20240825,78,77,282
20240826,78,76,282
20240827,79,76,281
20240828,79,76,281
20240829,79,75,280
20240830,80,75,280
20240831,80,75,280
20240901,81,74,279
20240902,81,74,279
20240903,81,73,278
20240904,82,73,278
20240905,82,73,278
20240906,83,72,277
20240907,83,72,277
20240908,83,72,276
20240909,84,71,276
20240910,84,71,275
20240911,85,70,275
20240912,85,70,275
20240913,86,70,274
20240914,86,69,274
20240915,86,69,273
20240916,87,69,273
20240917,87,68,273
20240918,88,68,272
20240919,88,67,272
20240920,89,67,671
20240921,89,67,271
20240922,89,66,270
20240923,90,66,270
20240924,90,65,270
20240925,91,25,269
20240926,91,65,269
20240927,91,64,268
20240928,92,64,268
20240929,92,63,267
20240930,93,63,267
20241001,93,63,267
20241002,94,62,266
20241003,94,62,266
20241004,94,62,265
20241005,95,91,265
20241006,95,61,264
20241007,96,60,264
20241008,96,60,264
20241009,97,60,263
20241010,97,59,263
20241011,97,59,262
20241012,98,58,262
20241013,98,58,262
20241014,99,58,261
20241015,99,57,261
20241016,99,57,260
20241017,100,57,260
20241018,100,56,260
20241019,101,56,259
20241020,101,56,259
20241021,101,55,258
20241022,102,55,258
20241023,102,54,258
20241024,103,54,257
20241025,103,54,257
20241026,103,53,256
20241027,104,53,256
20241028,104,53,256
20241029,104,52,255
20241030,105,52,255
20241031,105,52,255
20241101,106,51,254
20241102,106,51,254
20241103,106,51,254
20241104,107,51,253
20241105,107,50,253
20241106,107,50,253
20241107,108,50,252
20241108,108,49,252
20241109,108,49,252
20241110,108,49,251
20241111,109,49,251
20241112,109,48,251
20241113,109,48,250
20241114,110,48,250
20241115,110,47,250
20241116,110,47,250
20241117,111,47,249
20241118,111,47,249
20241119,111,46,249
20241120,111,46,249
20241121,112,46,248
20241122,112,46,248
20241123,112,46,248
20241124,112,45,248
20241125,112,45,247
20241126,113,45,247
20241127,113,45,247
20241128,113,45,247
20241129,113,44,247
20241130,113,44,246
20241201,,,
20241202,,,
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241207,,,
20241208,,,
20241209,,,
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241214,,,
20241215,,,
20241216,,,
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241221,,,
20241222,,,
20241223,,,
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241228,,,
20241229,,,
20241230,,,
20241231,,,
