日期,日出時刻,日出方位角,太陽過中天,中天仰角,日落時刻,日落方位角,裝置ID,緯度(N)
20240101,0636,115,1157,43,1717,245,15,24°0'33
20240102,0637,115,1157,43,1718,245,15,24°0'33
20240103,0637,115,1158,43,1719,245,15,24°0'33
20240104,0637,115,1158,43,1719,245,15,24°0'33
20240105,0637,115,1159,43,1720,245,15,24°0'33
20240106,0638,114,1159,43,1721,246,15,24°0'33
20240107,0638,114,1159,44,1721,246,15,24°0'33
20240108,0638,114,1200,44,1722,246,15,24°0'33
20240109,0638,114,1200,44,1723,246,15,24°0'33
20240110,0638,114,1201,44,1723,246,15,24°0'33
20240111,0638,114,1201,44,1724,246,15,24°0'33
20240112,0638,114,1202,44,1725,247,15,24°0'33
20240113,0638,113,1202,44,1726,247,15,24°0'33
20240114,0638,113,1202,44,1726,247,15,24°0'33
20240115,0638,113,1203,45,1727,247,15,24°0'33
20240116,0638,113,1203,45,1728,247,15,24°0'33
20240117,0638,113,1203,45,1728,248,15,24°0'33
20240118,0638,112,1204,45,1729,248,15,24°0'33
20240119,0638,112,1204,46,1730,248,15,24°0'33
20240120,0638,112,1204,46,1731,248,15,24°0'33
20240121,0638,112,1205,46,1731,248,15,24°0'33
20240122,0638,111,1205,46,1732,249,15,24°0'33
20240123,0638,111,1205,46,1733,249,15,24°0'33
20240124,0637,111,1205,47,1734,249,15,24°0'33
20240125,0637,111,1206,47,1734,249,15,24°0'33
20240126,0637,110,1206,47,1735,250,15,24°0'33
20240127,0637,110,1206,47,1736,250,15,24°0'33
20240128,0636,110,1206,48,1736,250,15,24°0'33
20240129,0636,110,1206,48,1737,251,15,24°0'33
20240130,0636,109,1207,48,1738,251,15,24°0'33
20240131,0635,109,1207,49,1739,251,15,24°0'33
20240201,0635,109,1207,49,1739,252,15,24°0'33
20240202,0635,108,1207,49,1740,252,15,24°0'33
20240203,0634,108,1207,49,1741,252,15,24°0'33
20240204,0634,108,1207,50,1741,252,15,24°0'33
20240205,0633,107,1207,50,1742,253,15,24°0'33
20240206,0633,107,1208,50,1743,253,15,24°0'33
20240207,0632,107,1208,51,1743,253,15,24°0'33
20240208,0632,106,1208,51,1744,254,15,24°0'33
20240209,0631,106,1208,51,1745,254,15,24°0'33
20240210,0631,106,1208,52,1745,255,15,24°0'33
20240211,0630,105,1208,52,1746,255,15,24°0'33
20240212,0629,105,1208,52,1746,255,15,24°0'33
20240213,0629,105,1208,52,1747,256,15,24°0'33
20240214,0628,104,1208,53,1748,256,15,24°0'33
20240215,0627,104,1208,53,1748,256,15,24°0'33
20240216,0627,103,1208,54,1749,257,15,24°0'33
20240217,0626,103,1208,54,1749,257,15,24°0'33
20240218,0625,103,1208,54,1750,258,15,24°0'33
20240219,0625,102,1207,55,1751,258,15,24°0'33
20240220,0624,102,1207,55,1751,258,15,24°0'33
20240221,0623,102,1207,55,1752,259,15,24°0'33
20240222,0622,101,1207,56,1752,259,15,24°0'33
20240223,0622,101,1207,56,1753,259,15,24°0'33
20240224,0621,100,1207,56,1753,260,15,24°0'33
20240225,0620,100,1207,57,1754,260,15,24°0'33
20240226,0619,99,1207,57,1754,261,15,24°0'33
20240227,0618,99,1206,57,1755,261,15,24°0'33
20240228,0617,99,1206,58,1755,262,15,24°0'33
20240229,0616,98,1206,58,1756,262,15,24°0'33
20240301,0616,98,1206,59,1756,262,15,24°0'33
20240302,0615,97,1206,59,1757,263,15,24°0'33
20240303,0614,97,1205,59,1757,263,15,24°0'33
20240304,0613,97,1205,60,1758,264,15,24°0'33
20240305,0612,96,1205,60,1758,264,15,24°0'33
20240306,0611,96,1205,61,1759,264,15,24°0'33
20240307,0610,95,1205,61,1759,265,15,24°0'33
20240308,0609,95,1204,61,1800,265,15,24°0'33
20240309,0608,94,1204,62,1800,266,15,24°0'33
20240310,0607,94,1204,62,1801,266,15,24°0'33
20240311,0606,94,1203,26,1801,267,15,24°0'33
20240312,0605,93,1203,63,1801,267,15,24°0'33
20240313,0604,93,1203,63,1802,267,15,24°0'33
20240314,0603,92,1203,64,1802,268,15,24°0'33
20240315,0603,92,1202,64,1803,268,15,24°0'33
20240316,0602,91,1202,64,1803,269,15,24°0'33
20240317,0601,91,1202,65,1803,269,15,24°0'33
20240318,0600,91,1202,65,1804,270,15,24°0'33
20240319,0559,90,1201,66,1804,270,15,24°0'33
20240320,0558,90,1201,66,1805,270,15,24°0'33
20240321,0557,89,1201,66,1805,271,15,24°0'33
20240322,0556,89,1200,67,1806,271,15,24°0'33
20240323,0555,88,1200,67,1806,272,15,24°0'33
20240324,0554,88,1200,68,1806,272,15,24°0'33
20240325,0553,88,1159,68,1807,273,15,24°0'33
20240326,0552,87,1159,68,1807,273,15,24°0'33
20240327,0551,87,1159,69,1808,274,15,24°0'33
20240328,0550,86,1159,69,1808,274,15,24°0'33
20240329,0549,86,1158,70,1808,274,15,24°0'33
20240330,0548,85,1158,70,1809,275,15,24°0'33
20240331,0547,85,1158,70,1809,275,15,24°0'33
20240401,0546,85,1157,71,1809,276,15,24°0'33
20240402,0545,84,1157,71,1810,276,15,24°0'33
20240403,0544,84,1157,72,1810,276,15,24°0'33
20240404,0543,83,1156,72,1811,277,15,24°0'33
20240405,0542,83,1156,72,1811,277,15,24°0'33
20240406,0541,82,1156,73,1811,278,15,24°0'33
20240407,0540,82,1156,73,1812,278,15,24°0'33
20240408,0539,82,1155,73,1812,279,15,24°0'33
20240409,0538,81,1155,74,1813,279,15,24°0'33
