Serial,ElevationAngle,Azimuth
20240101064006,-0.12,115.81
20240101065006,1.94,117.84
20240101070006,3.97,119.87
20240101071006,5.99,121.9
20240101072006,7.99,123.92
20240101073006,9.96,125.95
20240101074006,11.91,127.98
20240101075006,13.83,130.01
20240101080006,15.72,132.04
20240101081006,17.59,134.06
20240101082006,19.41,136.09
20240101083006,21.2,138.12
20240101084006,22.95,140.15
20240101085006,24.66,142.18
20240101090006,26.32,144.2
20240101091006,27.93,146.23
20240101092006,29.49,148.26
20240101093006,30.99,150.29
20240101094006,32.42,152.32
20240101095006,33.79,154.34
20240101100006,35.08,156.37
20240101101006,36.3,158.4
20240101102006,37.43,160.43
20240101103006,38.47,162.46
20240101104006,39.42,164.49
20240101105006,40.26,166.51
20240101110006,41.0,168.54
20240101111006,41.63,170.57
20240101112006,42.15,172.6
20240101113006,42.55,174.63
20240101114006,42.82,176.65
20240101115006,42.97,178.68
20240101120006,42.99,180.71
20240101121006,42.89,182.74
20240101122006,42.67,184.77
20240101123006,42.32,186.79
20240101124006,41.85,188.82
20240101125006,41.27,190.85
20240101130006,40.57,192.88
20240101131006,39.77,194.91
20240101132006,38.86,196.93
20240101133006,37.86,198.96
20240101134006,36.76,200.99
20240101135006,35.58,203.02
20240101140006,34.32,205.05
20240101141006,32.98,207.07
20240101142006,31.57,209.1
20240101143006,30.1,211.13
20240101144006,28.56,213.16
20240101145006,26.97,215.19
20240101150006,25.33,217.22
20240101151006,23.64,219.24
20240101152006,21.91,221.27
20240101153006,20.13,223.3
20240101154006,18.32,225.33
20240101155006,16.47,227.36
20240101160006,14.59,229.38
20240101161006,12.68,231.41
20240101162006,10.75,233.44
20240101163006,8.78,235.47
20240101164006,6.79,237.5
20240101165006,4.78,239.52
20240101170006,2.75,241.55
20240101171006,0.7,243.58
20240102064006,-0.12,115.61
20240102065006,1.94,117.64
20240102070006,3.97,119.66
20240102071006,5.99,121.69
20240102072006,7.99,123.72
20240102073006,9.96,125.75
20240102074006,11.91,127.78
20240102075006,13.83,129.8
20240102080006,15.72,131.83
20240102081006,17.59,133.86
20240102082006,19.41,135.89
20240102083006,21.2,137.92
20240102084006,22.95,139.95
20240102085006,24.66,141.97
20240102090006,26.32,144.0
20240102091006,27.93,146.03
20240102092006,29.49,148.06
20240102093006,30.99,150.09
20240102094006,32.42,152.11
20240102095006,33.79,154.14
20240102100006,35.08,156.17
20240102101006,36.3,158.2
20240102102006,37.43,160.23
20240102103006,38.47,162.25
20240102104006,39.42,164.28
20240102105006,40.26,166.31
20240102110006,41.0,168.34
20240102111006,41.63,170.37
20240102112006,42.15,172.39
20240102113006,42.55,174.42
20240102114006,42.82,176.45
20240102115006,42.97,178.48
20240102120006,42.99,180.51
20240102121006,42.89,182.54
20240102122006,42.67,184.56
20240102123006,42.32,186.59
20240102124006,41.85,188.62
20240102125006,41.27,190.65
20240102130006,40.57,192.68
20240102131006,39.77,194.7
20240102132006,38.86,196.73
20240102133006,37.86,198.76
20240102134006,36.76,200.79
20240102135006,35.58,202.82
20240102140006,34.32,204.84
20240102141006,32.98,206.87
20240102142006,31.57,208.9
20240102143006,30.1,210.93
20240102144006,28.56,212.96
20240102145006,26.97,214.98
20240102150006,25.33,217.01
20240102151006,23.64,219.04
20240102152006,21.91,221.07
20240102153006,20.13,223.1
20240102154006,18.32,225.12
20240102155006,16.47,227.15
20240102160006,14.59,229.18
20240102161006,12.68,231.21
20240102162006,10.75,233.24
20240102163006,8.78,235.27
20240102164006,6.79,237.29
20240102165006,4.78,239.32
20240102170006,2.75,241.35
20240102171006,0.7,243.38
20240103064006,-0.33,115.61
20240103065006,1.73,117.63
20240103070006,3.77,119.66
20240103071006,5.79,121.68
20240103072006,7.79,123.71
20240103073006,9.77,125.73
20240103074006,11.72,127.76
20240103075006,13.64,129.78
20240103080006,15.54,131.81
20240103081006,17.4,133.83
20240103082006,19.23,135.86
20240103083006,21.03,137.88
20240103084006,22.78,139.91
20240103085006,24.49,141.93
20240103090006,26.16,143.96
20240103091006,27.77,145.98
20240103092006,29.34,148.01
20240103093006,30.84,150.03
20240103094006,32.28,152.06
20240103095006,33.66,154.08
20240103100006,34.96,156.11
20240103101006,36.18,158.13
20240103102006,37.32,160.16
20240103103006,38.37,162.18
20240103104006,39.33,164.21
20240103105006,40.18,166.23
20240103110006,40.94,168.26
20240103111006,41.58,170.28
20240103112006,42.1,172.31
20240103113006,42.51,174.33
20240103114006,42.8,176.36
20240103115006,42.96,178.38
20240103120006,43.0,180.4
20240103121006,42.91,182.43
20240103122006,42.7,184.45
20240103123006,42.36,186.48
20240103124006,41.91,188.5
