Serial,ElevationAngle(degree),Azimuth(degree)
20240101064013,-0.12,115.81
20240101065013,1.94,117.84
20240101070013,3.97,119.87
20240101071013,5.99,121.9
20240101072013,7.99,123.92
20240101073013,9.96,125.95
20240101074013,11.91,127.98
20240101075013,13.83,130.01
20240101080013,15.72,132.04
20240101081013,17.59,134.06
20240101082013,19.41,136.09
20240101083013,21.2,138.12
20240101084013,22.95,140.15
20240101085013,24.66,142.18
20240101090013,26.32,144.2
20240101091013,27.93,146.23
20240101092013,29.49,148.26
20240101093013,30.99,150.29
20240101094013,32.42,152.32
20240101095013,33.79,154.34
20240101100013,35.08,156.37
20240101101013,36.3,158.4
20240101102013,37.43,160.43
20240101103013,38.47,162.46
20240101104013,39.42,164.49
20240101105013,40.26,166.51
20240101110013,41.0,168.54
20240101111013,41.63,170.57
20240101112013,42.15,172.6
20240101113013,42.55,174.63
20240101114013,42.82,176.65
20240101115013,42.97,178.68
20240101120013,42.99,180.71
20240101121013,42.89,182.74
20240101122013,42.67,184.77
20240101123013,42.32,186.79
20240101124013,41.85,188.82
20240101125013,41.27,190.85
20240101130013,40.57,192.88
20240101131013,39.77,194.91
20240101132013,38.86,196.93
20240101133013,37.86,198.96
20240101134013,36.76,200.99
20240101135013,35.58,203.02
20240101140013,34.32,205.05
20240101141013,32.98,207.07
20240101142013,31.57,209.1
20240101143013,30.1,211.13
20240101144013,28.56,213.16
20240101145013,26.97,215.19
20240101150013,25.33,217.22
20240101151013,23.64,219.24
20240101152013,21.91,221.27
20240101153013,20.13,223.3
20240101154013,18.32,225.33
20240101155013,16.47,227.36
20240101160013,14.59,229.38
20240101161013,12.68,231.41
20240101162013,10.75,233.44
20240101163013,8.78,235.47
20240101164013,6.79,237.5
20240101165013,4.78,239.52
20240101170013,2.75,241.55
20240101171013,0.7,243.58
20240102064013,-0.12,115.61
20240102065013,1.94,117.64
20240102070013,3.97,119.66
20240102071013,5.99,121.69
20240102072013,7.99,123.72
20240102073013,9.96,125.75
20240102074013,11.91,127.78
20240102075013,13.83,129.8
20240102080013,15.72,131.83
20240102081013,17.59,133.86
20240102082013,19.41,135.89
20240102083013,21.2,137.92
20240102084013,22.95,139.95
20240102085013,24.66,141.97
20240102090013,26.32,144.0
20240102091013,27.93,146.03
20240102092013,29.49,148.06
20240102093013,30.99,150.09
20240102094013,32.42,152.11
20240102095013,33.79,154.14
20240102100013,35.08,156.17
20240102101013,36.3,158.2
20240102102013,37.43,160.23
20240102103013,38.47,162.25
20240102104013,39.42,164.28
20240102105013,40.26,166.31
20240102110013,41.0,168.34
20240102111013,41.63,170.37
20240102112013,42.15,172.39
20240102113013,42.55,174.42
20240102114013,42.82,176.45
20240102115013,42.97,178.48
20240102120013,42.99,180.51
20240102121013,42.89,182.54
20240102122013,42.67,184.56
20240102123013,42.32,186.59
20240102124013,41.85,188.62
20240102125013,41.27,190.65
20240102130013,40.57,192.68
20240102131013,39.77,194.7
20240102132013,38.86,196.73
20240102133013,37.86,198.76
20240102134013,36.76,200.79
20240102135013,35.58,202.82
20240102140013,34.32,204.84
20240102141013,32.98,206.87
20240102142013,31.57,208.9
20240102143013,30.1,210.93
20240102144013,28.56,212.96
20240102145013,26.97,214.98
20240102150013,25.33,217.01
20240102151013,23.64,219.04
20240102152013,21.91,221.07
20240102153013,20.13,223.1
20240102154013,18.32,225.12
20240102155013,16.47,227.15
20240102160013,14.59,229.18
20240102161013,12.68,231.21
20240102162013,10.75,233.24
20240102163013,8.78,235.27
20240102164013,6.79,237.29
20240102165013,4.78,239.32
20240102170013,2.75,241.35
20240102171013,0.7,243.38
20240103064013,-0.33,115.61
20240103065013,1.73,117.63
20240103070013,3.77,119.66
20240103071013,5.79,121.68
20240103072013,7.79,123.71
20240103073013,9.77,125.73
20240103074013,11.72,127.76
20240103075013,13.64,129.78
20240103080013,15.54,131.81
20240103081013,17.4,133.83
20240103082013,19.23,135.86
20240103083013,21.03,137.88
20240103084013,22.78,139.91
20240103085013,24.49,141.93
20240103090013,26.16,143.96
20240103091013,27.77,145.98
20240103092013,29.34,148.01
20240103093013,30.84,150.03
20240103094013,32.28,152.06
20240103095013,33.66,154.08
20240103100013,34.96,156.11
20240103101013,36.18,158.13
20240103102013,37.32,160.16
20240103103013,38.37,162.18
20240103104013,39.33,164.21
20240103105013,40.18,166.23
20240103110013,40.94,168.26
20240103111013,41.58,170.28
20240103112013,42.1,172.31
20240103113013,42.51,174.33
20240103114013,42.8,176.36
20240103115013,42.96,178.38
20240103120013,43.0,180.4
20240103121013,42.91,182.43
20240103122013,42.7,184.45
20240103123013,42.36,186.48
20240103124013,41.91,188.5
20240103125013,41.33,190.53
20240103130013,40.65,192.55
20240103131013,39.85,194.58
20240103132013,38.96,196.6
20240103133013,37.96,198.63
20240103134013,36.88,200.65
20240103135013,35.7,202.68
20240103140013,34.45,204.7
20240103141013,33.12,206.73
20240103142013,31.71,208.75
20240103143013,30.25,210.78
20240103144013,28.72,212.8
20240103145013,27.13,214.83
20240103150013,25.5,216.85
