序號,答案
20240117090001,318.19
20240117091001,14.07
20240117092001,76.02
20240117093001,43.29
20240117094001,34.14
20240117095001,61.77
20240117100001,82.62
20240117101001,73.12
20240117102001,101.73
20240117103001,104.16
20240117104001,131.59
20240117105001,139.77
20240117110001,144.05
20240117111001,0.0
20240117112001,47.03
20240117113001,35.71
20240117114001,39.07
20240117115001,86.25
20240117120001,113.85
20240117121001,126.85
20240117122001,124.03
20240117123001,123.83
20240117124001,214.65
20240117125001,197.93
20240117130001,170.56
20240117131001,438.08
20240117132001,0.0
20240117133001,163.07
20240117134001,47.43
20240117135001,51.42
20240117140001,59.85
20240117141001,92.83
20240117142001,62.39
20240117143001,119.26
20240117144001,115.88
20240117145001,143.92
20240117150001,130.8
20240117151001,161.61
20240117152001,0.0
20240117153001,109.55
20240117154001,48.87
20240117155001,47.98
20240117160001,99.22
20240117161001,136.02
20240117162001,137.53
20240117163001,122.53
20240117164001,140.54
20240117165001,257.85
20240119090001,426.39
20240119091001,11.96
20240119092001,102.02
20240119093001,129.92
20240119094001,149.85
20240119095001,227.99
20240119100001,342.47
20240119101001,298.82
20240119102001,505.82
20240119103001,438.18
20240119104001,395.96
20240119105001,432.31
20240119110001,454.56
20240119111001,0.0
20240119112001,73.83
20240119113001,85.4
20240119114001,64.44
20240119115001,47.94
20240119120001,75.36
20240119121001,67.01
20240119122001,117.11
20240119123001,124.05
20240119124001,142.17
20240119125001,122.06
20240119130001,168.74
20240119131001,0.0
20240119132001,82.01
20240119133001,94.91
20240119134001,83.0
20240119135001,139.92
20240119140001,191.61
20240119141001,145.02
20240119142001,209.04
20240119143001,183.0
20240119144001,248.81
20240119145001,232.76
20240119150001,218.17
20240119151001,506.44
20240119152001,0.0
20240119153001,193.18
20240119154001,48.84
20240119155001,56.23
20240119160001,51.79
20240119161001,100.89
20240119162001,62.15
20240119163001,116.88
20240119164001,111.71
20240119165001,139.17
20240224090001,211.29
20240224091001,33.99
20240224092001,42.62
20240224093001,32.43
20240224094001,42.86
20240224095001,78.14
20240224100001,118.72
20240224101001,99.42
20240224102001,123.91
20240224103001,171.06
20240224104001,256.5
20240224105001,305.64
20240224110001,223.59
20240224111001,0.0
20240224112001,2.4
20240224113001,13.74
20240224114001,9.97
20240224115001,30.89
20240224120001,47.15
20240224121001,42.19
20240224122001,49.85
20240224123001,80.44
20240224124001,122.12
20240224125001,153.27
20240224130001,107.49
20240224131001,0.0
20240224132001,23.54
20240224133001,27.42
20240224134001,29.57
20240224135001,45.34
20240224140001,67.67
20240224141001,64.87
20240224142001,79.36
20240224143001,102.1
20240224144001,144.79
20240224145001,194.93
20240224150001,118.38
20240224151001,0.0
20240224152001,9.42
20240224153001,32.19
20240224154001,18.45
20240224155001,44.33
20240224160001,67.58
20240224161001,76.45
20240224162001,78.73
20240224163001,119.3
20240224164001,164.96
20240224165001,217.86
20240226090001,188.59
20240226091001,40.36
20240226092001,60.79
20240226093001,42.16
20240226094001,53.11
20240226095001,82.93
20240226100001,84.78
20240226101001,78.95
20240226102001,93.97
20240226103001,127.89
20240226104001,148.64
20240226105001,189.9
20240226110001,155.4
20240226111001,7.07
20240226112001,36.03
20240226113001,17.96
20240226114001,25.02
20240226115001,43.38
20240226120001,33.61
20240226121001,40.61
20240226122001,59.63
20240226123001,84.02
20240226124001,99.51
20240226125001,129.11
20240226130001,89.87
20240226131001,0.0
20240226132001,26.85
20240226133001,40.08
20240226134001,45.28
20240226135001,63.21
20240226140001,52.15
20240226141001,66.62
20240226142001,100.43
20240226143001,124.71
20240226144001,145.77
20240226145001,172.68
20240226150001,135.21
20240226151001,30.31
20240226152001,60.03
20240226153001,49.33
20240226154001,66.48
20240226155001,92.57
20240226160001,83.84
20240226161001,93.72
20240226162001,133.65
20240226163001,167.25
20240226164001,197.52
20240226165001,233.29
20240327090001,293.42
20240327091001,96.97
20240327092001,108.1
20240327093001,107.35
20240327094001,148.46
20240327095001,199.19
20240327100001,261.0
20240327101001,277.1
20240327102001,270.05
20240327103001,263.97
20240327104001,286.93
20240327105001,310.0
20240327110001,300.77
20240327111001,93.18
20240327112001,107.37
20240327113001,112.14
20240327114001,157.83
20240327115001,202.74
20240327120001,272.25
20240327121001,297.57
20240327122001,279.6
20240327123001,273.41
20240327124001,303.77
20240327125001,326.88
20240327130001,319.01
20240327131001,10.39
20240327132001,34.35
20240327133001,45.67
20240327134001,62.05
20240327135001,92.49
20240327140001,118.82
20240327141001,129.54
20240327142001,124.99
20240327143001,117.05
20240327144001,143.85
20240327145001,145.43
20240327150001,142.26
20240327151001,32.08
20240327152001,59.67
20240327153001,46.47
20240327154001,79.67
20240327155001,110.85
20240327160001,155.29
20240327161001,153.71
20240327162001,140.93
20240327163001,130.31
20240327164001,161.05
20240327165001,178.0
20240329090001,153.28
20240329091001,119.7
20240329092001,113.49
20240329093001,139.48
20240329094001,127.59
20240329095001,161.93
20240329100001,196.78
20240329101001,166.09
20240329102001,130.43
20240329103001,205.49
20240329104001,102.95
20240329105001,140.22
20240329110001,180.09
20240329111001,123.33
20240329112001,120.39
20240329113001,151.76
20240329114001,128.55
20240329115001,172.42
20240329120001,209.38
20240329121001,169.02
20240329122001,144.87
20240329123001,235.52
20240329124001,104.43
20240329125001,148.83
20240329130001,194.33
20240329131001,0.0
20240329132001,42.78
20240329133001,73.84
20240329134001,57.83
20240329135001,75.98
20240329140001,84.29
20240329141001,74.41
20240329142001,49.01
20240329143001,80.11
20240329144001,39.65
20240329145001,49.21
20240329150001,87.11
20240329151001,66.4
20240329152001,66.11
20240329153001,78.23
20240329154001,57.81
20240329155001,91.72
20240329160001,116.28
20240329161001,85.72
20240329162001,65.1
20240329163001,137.58
20240329164001,29.31
20240329165001,79.03
20240428090001,420.1
20240428091001,82.06
20240428092001,119.79
20240428093001,134.3
20240428094001,126.81
20240428095001,164.12
20240428100001,222.03
20240428101001,232.72
20240428102001,303.8
20240428103001,270.24
20240428104001,315.46
20240428105001,364.35
20240428110001,410.49
20240428111001,82.08
20240428112001,115.54
20240428113001,142.37
20240428114001,126.51
20240428115001,161.91
20240428120001,226.9
20240428121001,248.11
20240428122001,328.62
20240428123001,270.46
20240428124001,329.77
20240428125001,380.46
20240428130001,446.87
20240428131001,92.61
20240428132001,133.01
20240428133001,168.32
20240428134001,163.4
20240428135001,198.08
20240428140001,276.77
20240428141001,302.05
20240428142001,386.06
20240428143001,313.68
20240428144001,397.62
20240428145001,455.8
20240428150001,548.35
20240428151001,85.2
20240428152001,93.48
20240428153001,164.64
20240428154001,138.12
20240428155001,174.83
20240428160001,255.53
20240428161001,313.95
20240428162001,330.84
20240428163001,351.42
20240428164001,382.18
20240428165001,410.04
20240430090001,849.18
20240430091001,290.68
20240430092001,329.14
20240430093001,338.0
20240430094001,377.85
20240430095001,444.02
20240430100001,547.75
20240430101001,622.03
20240430102001,635.39
20240430103001,658.85
20240430104001,755.76
20240430105001,748.11
20240430110001,743.6
20240430111001,363.52
20240430112001,400.45
20240430113001,417.94
20240430114001,465.34
20240430115001,548.41
20240430120001,646.91
20240430121001,751.65
20240430122001,789.74
20240430123001,868.47
20240430124001,954.85
20240430125001,956.46
20240430130001,966.47
20240430131001,481.61
20240430132001,499.58
20240430133001,541.64
20240430134001,566.18
20240430135001,667.52
20240430140001,757.25
20240430141001,883.53
20240430142001,946.01
20240430143001,1014.91
20240430144001,1085.94
20240430145001,1105.76
20240430150001,1139.46
20240430151001,220.85
20240430152001,168.58
20240430153001,210.85
20240430154001,224.03
20240430155001,236.36
20240430160001,291.22
20240430161001,321.72
20240430162001,315.04
20240430163001,322.71
20240430164001,388.28
20240430165001,358.09
20240515090001,855.64
20240515091001,360.78
20240515092001,269.38
20240515093001,391.56
20240515094001,458.78
20240515095001,563.7
20240515100001,558.25
20240515101001,571.73
20240515102001,646.99
20240515103001,732.08
20240515104001,761.55
20240515105001,785.46
20240515110001,753.86
20240515111001,580.62
20240515112001,396.19
20240515113001,575.81
20240515114001,663.72
20240515115001,804.24
20240515120001,743.01
20240515121001,932.43
20240515122001,977.02
20240515123001,1116.15
20240515124001,1150.29
20240515125001,1189.02
20240515130001,1162.11
20240515131001,224.7
20240515132001,123.9
20240515133001,254.68
20240515134001,249.37
20240515135001,265.9
20240515140001,299.3
20240515141001,282.43
20240515142001,255.19
20240515143001,236.96
20240515144001,320.37
20240515145001,309.48
20240515150001,593.74
20240515151001,291.41
20240515152001,253.32
20240515153001,455.57
20240515154001,557.59
20240515155001,652.24
20240515160001,611.6
20240515161001,774.01
20240515162001,830.41
20240515163001,949.54
20240515164001,1020.79
20240515165001,1053.45
20240520090001,572.76
20240520091001,304.23
20240520092001,167.36
20240520093001,227.26
20240520094001,206.62
20240520095001,302.44
20240520100001,401.3
20240520101001,433.59
20240520102001,436.53
20240520103001,607.85
20240520104001,603.32
20240520105001,647.18
20240520110001,659.95
20240520111001,406.65
20240520112001,241.68
20240520113001,288.45
20240520114001,267.02
20240520115001,360.15
20240520120001,473.85
20240520121001,541.15
20240520122001,533.18
20240520123001,746.99
20240520124001,745.48
20240520125001,827.19
20240520130001,810.35
20240520131001,49.39
20240520132001,10.29
20240520133001,58.27
20240520134001,69.03
20240520135001,124.34
20240520140001,151.31
20240520141001,161.84
20240520142001,150.03
20240520143001,149.72
20240520144001,154.92
20240520145001,160.87
20240520150001,163.86
20240520151001,149.16
20240520152001,117.22
20240520153001,134.27
20240520154001,120.76
20240520155001,158.37
20240520160001,205.21
20240520161001,207.09
20240520162001,228.74
20240520163001,295.88
20240520164001,295.35
20240520165001,283.54
20240613090001,179.99
20240613091001,126.76
20240613092001,130.16
20240613093001,111.58
20240613094001,103.29
