序號,答案
20240117090001,300.81
20240117091001,0.0
20240117092001,90.31
20240117093001,12.17
20240117094001,1.62
20240117095001,90.75
20240117100001,69.58
20240117101001,41.33
20240117102001,87.14
20240117103001,95.81
20240117104001,104.34
20240117105001,130.38
20240117110001,140.05
20240117111001,0.0
20240117112001,57.22
20240117113001,0.0
20240117114001,0.0
20240117115001,55.86
20240117120001,102.09
20240117121001,76.07
20240117122001,105.03
20240117123001,119.96
20240117124001,191.51
20240117125001,194.98
20240117130001,157.24
20240117131001,660.26
20240117132001,0.0
20240117133001,202.97
20240117134001,0.0
20240117135001,0.0
20240117140001,164.07
20240117141001,33.57
20240117142001,0.0
20240117143001,100.37
20240117144001,41.34
20240117145001,88.91
20240117150001,128.96
20240117151001,119.56
20240117152001,0.0
20240117153001,221.39
20240117154001,0.0
20240117155001,0.0
20240117160001,34.64
20240117161001,92.37
20240117162001,45.78
20240117163001,136.18
20240117164001,142.06
20240117165001,242.66
20240119090001,440.01
20240119091001,15.81
20240119092001,62.24
20240119093001,111.17
20240119094001,138.26
20240119095001,260.26
20240119100001,319.94
20240119101001,304.66
20240119102001,468.75
20240119103001,457.62
20240119104001,397.02
20240119105001,438.84
20240119110001,484.54
20240119111001,0.0
20240119112001,31.18
20240119113001,5.52
20240119114001,8.4
20240119115001,82.65
20240119120001,37.26
20240119121001,49.52
20240119122001,101.14
20240119123001,119.66
20240119124001,134.46
20240119125001,133.16
20240119130001,162.32
20240119131001,0.0
20240119132001,71.23
20240119133001,30.1
20240119134001,21.33
20240119135001,93.54
20240119140001,192.17
20240119141001,109.59
20240119142001,168.29
20240119143001,188.74
20240119144001,221.34
20240119145001,223.06
20240119150001,204.12
20240119151001,711.13
20240119152001,0.0
20240119153001,253.92
20240119154001,0.0
20240119155001,0.0
20240119160001,163.87
20240119161001,4.24
20240119162001,0.0
20240119163001,93.46
20240119164001,37.84
20240119165001,86.36
20240224090001,239.95
20240224091001,26.57
20240224092001,8.89
20240224093001,51.48
20240224094001,63.37
20240224095001,72.76
20240224100001,104.27
20240224101001,106.19
20240224102001,135.39
20240224103001,176.54
20240224104001,243.96
20240224105001,322.09
20240224110001,263.93
20240224111001,0.0
20240224112001,33.04
20240224113001,18.1
20240224114001,45.31
20240224115001,60.63
20240224120001,41.14
20240224121001,43.7
20240224122001,56.81
20240224123001,82.02
20240224124001,106.19
20240224125001,139.15
20240224130001,124.94
20240224131001,0.0
20240224132001,11.76
20240224133001,32.47
20240224134001,49.11
20240224135001,43.26
20240224140001,50.37
20240224141001,65.23
20240224142001,72.54
20240224143001,102.33
20240224144001,128.39
20240224145001,168.62
20240224150001,128.88
20240224151001,0.0
20240224152001,9.17
20240224153001,9.02
20240224154001,14.26
20240224155001,33.62
20240224160001,49.12
20240224161001,57.49
20240224162001,63.7
20240224163001,110.16
20240224164001,150.13
20240224165001,199.57
20240226090001,197.34
20240226091001,31.31
20240226092001,36.12
20240226093001,44.15
20240226094001,58.49
20240226095001,60.94
20240226100001,62.15
20240226101001,84.4
20240226102001,92.85
20240226103001,126.05
20240226104001,138.44
20240226105001,208.5
20240226110001,167.95
20240226111001,0.0
20240226112001,73.1
20240226113001,13.81
20240226114001,42.81
20240226115001,60.19
20240226120001,34.56
20240226121001,38.62
20240226122001,60.64
20240226123001,85.23
20240226124001,89.55
20240226125001,114.09
20240226130001,99.15
20240226131001,0.0
20240226132001,25.11
20240226133001,2.78
20240226134001,28.63
20240226135001,38.72
20240226140001,33.32
20240226141001,52.36
20240226142001,74.61
20240226143001,111.48
20240226144001,127.64
20240226145001,157.82
20240226150001,124.72
20240226151001,4.4
20240226152001,42.95
20240226153001,33.85
20240226154001,56.14
20240226155001,73.57
20240226160001,65.28
20240226161001,78.53
20240226162001,105.9
20240226163001,153.01
20240226164001,178.35
20240226165001,218.63
20240327090001,314.45
20240327091001,80.96
20240327092001,81.15
20240327093001,104.63
20240327094001,159.66
20240327095001,198.67
20240327100001,246.87
20240327101001,286.61
20240327102001,281.5
20240327103001,266.78
20240327104001,277.71
20240327105001,321.09
20240327110001,326.6
20240327111001,68.02
20240327112001,85.33
20240327113001,111.71
20240327114001,178.6
20240327115001,213.94
20240327120001,261.59
20240327121001,305.81
20240327122001,292.28
20240327123001,271.2
20240327124001,286.5
20240327125001,323.47
20240327130001,341.99
20240327131001,0.0
20240327132001,69.07
20240327133001,35.97
20240327134001,74.77
20240327135001,96.26
20240327140001,95.75
20240327141001,121.72
20240327142001,117.84
20240327143001,113.89
20240327144001,134.93
20240327145001,144.18
20240327150001,153.12
20240327151001,23.02
20240327152001,57.78
20240327153001,49.37
20240327154001,87.56
20240327155001,98.17
20240327160001,135.75
20240327161001,146.85
20240327162001,138.88
20240327163001,139.59
20240327164001,154.13
20240327165001,170.55
20240329090001,198.26
20240329091001,117.52
20240329092001,87.61
20240329093001,138.19
20240329094001,143.45
20240329095001,166.72
20240329100001,184.16
20240329101001,170.5
20240329102001,147.77
20240329103001,215.99
20240329104001,105.5
20240329105001,153.91
20240329110001,236.51
20240329111001,112.64
20240329112001,101.18
20240329113001,151.39
20240329114001,152.76
20240329115001,180.32
20240329120001,200.78
20240329121001,182.04
20240329122001,169.7
20240329123001,237.87
20240329124001,111.68
20240329125001,153.76
20240329130001,246.21
20240329131001,0.0
20240329132001,74.28
20240329133001,51.78
20240329134001,79.88
20240329135001,80.52
20240329140001,66.24
20240329141001,75.96
20240329142001,61.86
20240329143001,89.18
20240329144001,53.51
20240329145001,65.12
20240329150001,112.73
20240329151001,52.02
20240329152001,63.73
20240329153001,72.78
20240329154001,68.52
20240329155001,91.02
20240329160001,101.94
20240329161001,89.54
20240329162001,73.4
20240329163001,136.71
20240329164001,56.74
20240329165001,80.55
20240428090001,423.98
20240428091001,69.01
20240428092001,91.52
20240428093001,150.2
20240428094001,136.27
20240428095001,159.63
20240428100001,200.07
20240428101001,231.67
20240428102001,310.98
20240428103001,259.29
20240428104001,300.31
20240428105001,385.17
20240428110001,421.32
20240428111001,63.2
20240428112001,84.28
20240428113001,159.13
20240428114001,140.04
20240428115001,154.69
20240428120001,201.94
20240428121001,244.5
20240428122001,329.45
20240428123001,258.03
20240428124001,306.47
20240428125001,391.38
20240428130001,453.96
20240428131001,57.33
20240428132001,111.69
20240428133001,196.75
20240428134001,173.42
20240428135001,190.52
20240428140001,255.6
20240428141001,298.38
20240428142001,382.47
20240428143001,310.64
20240428144001,385.23
20240428145001,460.79
20240428150001,552.27
20240428151001,44.75
20240428152001,86.83
20240428153001,215.77
20240428154001,146.02
20240428155001,178.93
20240428160001,246.43
20240428161001,309.63
20240428162001,323.7
20240428163001,349.02
20240428164001,371.91
20240428165001,411.0
20240430090001,824.18
20240430091001,336.32
20240430092001,371.59
20240430093001,380.43
20240430094001,422.59
20240430095001,495.01
20240430100001,575.3
20240430101001,617.33
20240430102001,634.96
20240430103001,646.43
20240430104001,713.81
20240430105001,740.47
20240430110001,739.85
20240430111001,384.2
20240430112001,442.85
20240430113001,472.8
20240430114001,512.4
20240430115001,613.02
20240430120001,682.62
20240430121001,761.64
20240430122001,786.84
20240430123001,857.77
20240430124001,913.41
20240430125001,941.48
20240430130001,912.14
20240430131001,526.63
20240430132001,572.1
20240430133001,616.82
20240430134001,636.85
20240430135001,758.53
20240430140001,808.08
20240430141001,905.26
20240430142001,940.57
20240430143001,991.03
20240430144001,1007.78
20240430145001,1081.47
20240430150001,1043.0
20240430151001,236.16
20240430152001,218.38
20240430153001,265.53
20240430154001,227.94
20240430155001,257.25
20240430160001,277.83
20240430161001,308.05
20240430162001,340.3
20240430163001,356.26
20240430164001,390.78
20240430165001,402.53
20240515090001,839.07
20240515091001,412.41
20240515092001,302.87
20240515093001,426.53
20240515094001,468.3
20240515095001,577.62
20240515100001,549.82
20240515101001,553.64
20240515102001,637.17
20240515103001,693.55
20240515104001,710.17
20240515105001,780.51
20240515110001,756.2
20240515111001,584.0
20240515112001,448.18
20240515113001,645.45
20240515114001,684.65
20240515115001,844.84
20240515120001,776.82
20240515121001,934.18
20240515122001,1018.89
20240515123001,1116.67
20240515124001,1108.61
20240515125001,1197.55
20240515130001,1082.84
20240515131001,235.02
20240515132001,210.86
20240515133001,288.1
20240515134001,217.22
20240515135001,261.85
20240515140001,276.49
20240515141001,258.12
20240515142001,305.87
20240515143001,289.34
20240515144001,354.7
20240515145001,388.58
20240515150001,659.85
20240515151001,320.26
20240515152001,264.13
20240515153001,503.32
20240515154001,571.04
20240515155001,697.67
20240515160001,664.69
20240515161001,767.28
20240515162001,835.83
20240515163001,934.18
20240515164001,1002.08
20240515165001,1069.74
20240520090001,576.82
20240520091001,241.6
20240520092001,221.88
20240520093001,262.81
20240520094001,232.91
20240520095001,361.51
20240520100001,449.23
20240520101001,449.55
20240520102001,472.44
20240520103001,614.34
20240520104001,604.99
20240520105001,671.25
20240520110001,698.4
20240520111001,420.85
20240520112001,281.59
20240520113001,355.59
20240520114001,282.01
20240520115001,422.15
20240520120001,527.04
20240520121001,546.57
20240520122001,543.45
20240520123001,750.42
20240520124001,730.2
20240520125001,825.56
20240520130001,825.68
20240520131001,83.42
20240520132001,67.49
20240520133001,85.26
20240520134001,66.59
20240520135001,120.67
20240520140001,127.35
20240520141001,153.86
20240520142001,134.79
20240520143001,128.85
20240520144001,135.86
20240520145001,163.86
20240520150001,173.08
20240520151001,125.42
20240520152001,105.24
20240520153001,122.74
20240520154001,104.38
20240520155001,148.55
20240520160001,193.51
20240520161001,194.46
20240520162001,226.47
20240520163001,303.09
20240520164001,299.79
20240520165001,294.6
20240613090001,196.76
20240613091001,66.41
20240613092001,146.4
20240613093001,104.23
20240613094001,109.69
20240613095001,140.65
20240613100001,159.07
20240613101001,176.08
20240613102001,193.74
20240613103001,207.06
20240613104001,250.03
20240613105001,260.81
20240613110001,243.88
20240613111001,87.42
20240613112001,122.55
20240613113001,105.03
20240613114001,87.28
20240613115001,118.01
20240613120001,160.96
20240613121001,161.75
20240613122001,175.93
20240613123001,207.29
20240613124001,253.09
20240613125001,262.96
20240613130001,267.48
20240613131001,111.74
20240613132001,145.71
20240613133001,138.06
20240613134001,101.24
20240613135001,160.69
20240613140001,198.54
20240613141001,193.17
20240613142001,206.3
20240613143001,261.89
20240613144001,310.66
20240613145001,314.87
20240613150001,288.37
20240613151001,0.0
20240613152001,49.37
20240613153001,40.24
20240613154001,25.01
20240613155001,33.02
20240613160001,43.78
20240613161001,51.5
20240613162001,52.78
20240613163001,57.63
20240613164001,89.85
20240613165001,107.33
20240615090001,719.89
20240615091001,262.14
20240615092001,193.33
20240615093001,210.8
20240615094001,202.9
20240615095001,185.17
20240615100001,195.02
20240615101001,226.31
20240615102001,265.16
20240615103001,290.39
20240615104001,308.66
20240615105001,334.11
20240615110001,476.64
20240615111001,312.71
20240615112001,209.8
20240615113001,325.89
20240615114001,468.47
20240615115001,472.94
20240615120001,543.41
20240615121001,603.63
20240615122001,608.81
20240615123001,728.18
20240615124001,785.89
20240615125001,796.71
20240615130001,825.77
20240615131001,850.26
20240615132001,670.36
20240615133001,640.09
20240615134001,668.91
20240615135001,749.49
20240615140001,836.75
20240615141001,955.74
20240615142001,909.77
20240615143001,1059.63
20240615144001,1090.42
20240615145001,1093.61
20240615150001,1079.79
20240615151001,195.15
20240615152001,80.9
20240615153001,0.0
20240615154001,57.44
20240615155001,29.68
20240615160001,69.67
20240615161001,113.98
20240615162001,95.91
20240615163001,105.47
20240615164001,122.67
20240615165001,119.82
20240703090001,691.57
20240703091001,362.37
20240703092001,270.31
20240703093001,316.69
20240703094001,340.95
20240703095001,376.84
20240703100001,457.13
20240703101001,502.54
20240703102001,499.2
20240703103001,556.19
20240703104001,400.15
20240703105001,330.1
20240703110001,591.6
20240703111001,467.54
20240703112001,578.47
20240703113001,592.3
20240703114001,604.05
20240703115001,664.23
20240703120001,787.34
20240703121001,819.34
20240703122001,848.89
20240703123001,910.03
20240703124001,765.51
20240703125001,709.99
20240703130001,912.47
20240703131001,290.54
20240703132001,199.02
20240703133001,205.52
20240703134001,202.09
20240703135001,151.13
20240703140001,148.02
20240703141001,220.21
20240703142001,252.85
20240703143001,251.7
20240703144001,284.12
20240703145001,288.04
20240703150001,376.42
20240703151001,174.02
20240703152001,146.51
20240703153001,244.59
20240703154001,424.21
20240703155001,442.56
20240703160001,495.19
20240703161001,543.25
20240703162001,587.11
20240703163001,677.36
20240703164001,578.7
20240703165001,526.32
20240707090001,746.6
20240707091001,376.43
20240707092001,283.94
20240707093001,310.65
20240707094001,326.45
20240707095001,366.85
20240707100001,432.26
20240707101001,485.44
20240707102001,487.02
20240707103001,540.47
20240707104001,546.36
20240707105001,593.17
20240707110001,562.56
20240707111001,454.88
20240707112001,583.61
20240707113001,581.44
20240707114001,595.03
20240707115001,669.04
20240707120001,759.24
20240707121001,799.03
20240707122001,827.8
20240707123001,892.81
20240707124001,958.75
20240707125001,1033.71
20240707130001,1048.26
20240707131001,347.76
20240707132001,177.47
20240707133001,191.4
20240707134001,172.09
20240707135001,131.35
20240707140001,152.64
20240707141001,208.76
20240707142001,241.33
20240707143001,210.77
20240707144001,236.88
20240707145001,259.86
20240707150001,404.07
20240707151001,214.74
20240707152001,154.22
20240707153001,240.77
20240707154001,403.91
20240707155001,405.52
20240707160001,465.63
20240707161001,529.49
20240707162001,595.71
20240707163001,666.0
20240707164001,732.52
20240707165001,799.77
20240125090002,89.92
20240125091002,0.0
20240125092002,22.92
20240125093002,12.39
20240125094002,5.25
20240125095002,29.58
20240125100002,43.83
20240125101002,32.29
20240125102002,19.38
20240125103002,34.92
20240125104002,48.77
20240125105002,100.37
20240125110002,94.75
20240125111002,0.0
20240125112002,54.06
20240125113002,0.0
20240125114002,0.0
20240125115002,14.0
20240125120002,0.0
20240125121002,0.0
20240125122002,0.0
20240125123002,0.0
20240125124002,0.0
20240125125002,12.49
20240125130002,20.63
20240125131002,0.0
20240125132002,39.27
20240125133002,0.0
20240125134002,0.0
20240125135002,0.0
20240125140002,12.03
20240125141002,0.0
20240125142002,0.0
20240125143002,11.96
20240125144002,14.84
20240125145002,28.92
20240125150002,26.17
20240125151002,666.17
20240125152002,0.0
20240125153002,193.33
20240125154002,0.0
20240125155002,0.0
20240125160002,159.58
20240125161002,33.69
20240125162002,1.23
20240125163002,108.83
20240125164002,47.85
20240125165002,93.01
20240128090002,55.34
20240128091002,0.0
20240128092002,20.66
20240128093002,1.12
20240128094002,11.06
20240128095002,13.35
20240128100002,10.69
20240128101002,15.65
20240128102002,17.91
20240128103002,38.23
20240128104002,37.82
20240128105002,67.75
20240128110002,38.57
20240128111002,0.0
20240128112002,79.13
20240128113002,0.0
20240128114002,0.0
20240128115002,17.05
20240128120002,0.0
20240128121002,0.0
20240128122002,0.0
20240128123002,14.31
20240128124002,12.86
20240128125002,30.23
20240128130002,21.67
20240128131002,0.0
20240128132002,36.8
20240128133002,0.0
20240128134002,0.0
20240128135002,0.0
20240128140002,17.44
20240128141002,0.0
20240128142002,0.0
20240128143002,0.0
20240128144002,0.0
20240128145002,0.0
20240128150002,0.0
20240128151002,730.43
20240128152002,0.0
20240128153002,225.38
20240128154002,0.0
20240128155002,0.0
20240128160002,163.38
20240128161002,31.42
20240128162002,0.0
20240128163002,107.82
20240128164002,47.35
20240128165002,93.24
20240213090002,810.67
20240213091002,236.17
20240213092002,263.47
20240213093002,390.17
20240213094002,439.29
20240213095002,565.32
20240213100002,581.04
20240213101002,602.23
20240213102002,661.28
20240213103002,795.58
20240213104002,653.04
20240213105002,697.39
20240213110002,814.03
20240213111002,46.65
20240213112002,64.41
20240213113002,29.63
20240213114002,52.75
20240213115002,97.38
20240213120002,36.74
20240213121002,35.98
20240213122002,46.34
20240213123002,56.86
20240213124002,54.11
20240213125002,96.46
20240213130002,137.83
20240213131002,0.0
20240213132002,101.13
20240213133002,132.08
20240213134002,128.3
20240213135002,165.42
20240213140002,185.28
20240213141002,155.51
20240213142002,177.56
20240213143002,200.8
20240213144002,224.54
20240213145002,332.49
20240213150002,354.01
20240213151002,56.73
20240213152002,90.45
20240213153002,119.17
20240213154002,161.59
20240213155002,198.77
20240213160002,192.08
20240213161002,176.37
20240213162002,255.79
20240213163002,442.67
20240213164002,555.84
20240213165002,443.04
20240226090002,197.34
20240226091002,31.31
20240226092002,36.12
20240226093002,44.15
20240226094002,58.49
20240226095002,60.94
20240226100002,62.15
20240226101002,84.4
20240226102002,92.85
20240226103002,126.05
20240226104002,138.44
20240226105002,208.5
20240226110002,167.95
20240226111002,0.0
20240226112002,73.1
20240226113002,13.81
20240226114002,42.81
20240226115002,60.19
20240226120002,34.56
20240226121002,38.62
20240226122002,60.64
20240226123002,85.23
20240226124002,89.55
20240226125002,114.09
20240226130002,99.15
20240226131002,0.0
20240226132002,25.11
20240226133002,2.78
20240226134002,28.63
20240226135002,38.72
20240226140002,33.32
20240226141002,52.36
20240226142002,74.61
20240226143002,111.48
20240226144002,127.64
20240226145002,157.82
20240226150002,124.72
20240226151002,4.4
20240226152002,42.95
20240226153002,33.85
20240226154002,56.14
20240226155002,73.57
20240226160002,65.28
20240226161002,78.53
20240226162002,105.9
20240226163002,153.01
20240226164002,178.35
20240226165002,218.63
20240319090002,108.0
20240319091002,0.0
20240319092002,44.93
20240319093002,26.23
20240319094002,47.83
20240319095002,63.32
20240319100002,35.97
20240319101002,55.28
20240319102002,105.54
20240319103002,83.35
20240319104002,59.07
20240319105002,80.04
20240319110002,95.35
20240319111002,0.0
20240319112002,39.42
20240319113002,32.85
20240319114002,48.55
20240319115002,66.08
20240319120002,36.95
20240319121002,51.28
