Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux)
20240117090001,0.76,1013.31,21.25,98.56,20858.6
20240117091001,0.93,1015.85,15.61,87.35,-1609.32
20240117092001,1.17,1014.71,18.2,88.15,4873.89
20240117093001,1.51,1014.86,17.64,86.53,5735.94
20240117094001,1.63,1014.66,17.22,88.0,3104.73
20240117095001,1.62,1014.49,17.52,87.01,2413.68
20240117100001,1.08,1015.29,17.66,85.58,4031.75
20240117101001,1.17,1015.31,17.72,85.11,4269.24
20240117102001,0.71,1015.6,18.43,83.12,5962.08
20240117103001,0.91,1015.43,18.39,82.83,5966.25
20240117104001,1.17,1015.19,18.64,81.8,7591.16
20240117105001,0.94,1015.42,19.11,79.34,9831.06
20240117110001,1.42,1014.95,19.28,78.15,10611.68
20240117111001,0.4,1016.32,15.93,93.89,1383.72
20240117112001,0.22,1016.57,16.49,90.39,766.65
20240117113001,0.15,1016.39,17.02,89.83,1718.23
20240117114001,0.11,1016.27,17.33,90.35,3085.09
20240117115001,0.1,1016.1,17.9,89.3,5133.97
20240117120001,0.11,1015.93,18.56,87.05,6780.37
20240117121001,0.11,1015.48,19.49,84.72,7678.57
20240117122001,0.12,1015.09,20.47,81.78,8995.3
20240117123001,0.11,1014.92,20.84,80.35,8962.33
20240117124001,0.1,1015.02,21.74,78.39,14778.91
20240117125001,0.09,1014.54,22.59,77.38,15600.53
20240117130001,0.07,1014.48,22.61,75.14,13594.07
20240117131001,0.66,1013.11,23.49,96.14,26041.97
20240117132001,0.94,1016.2,15.09,87.92,-1905.36
20240117133001,0.9,1013.98,19.9,87.51,5401.99
20240117134001,1.44,1015.04,18.28,85.43,10520.25
20240117135001,1.36,1014.68,17.29,90.09,3046.22
20240117140001,1.41,1014.29,17.92,88.06,2172.0
20240117141001,1.13,1014.73,18.28,85.11,3851.18
20240117142001,1.15,1014.98,17.97,85.3,4053.71
20240117143001,0.82,1015.05,18.89,82.61,5639.0
20240117144001,0.94,1015.1,18.56,83.41,5614.35
20240117145001,1.11,1015.02,19.04,81.04,7787.53
20240117150001,1.02,1015.08,19.82,76.94,10770.42
20240117151001,1.3,1014.82,19.87,76.3,11208.61
