序號,答案
20240117090001,34710749562.61
20240117091001,-260909444596.61
20240117092001,-278318430292.7
20240117093001,-306354685703.64
20240117094001,-300854746243.91
20240117095001,-295189078796.52
20240117100001,-292631753698.73
20240117101001,-300064368967.28
20240117102001,-301047613275.02
20240117103001,-292311420672.72
20240117104001,-290812974083.44
20240117105001,-296641699844.41
20240117110001,-296041965272.83
20240117111001,-309625419135.78
20240117112001,-324206131566.62
20240117113001,-292721402542.59
20240117114001,-296413240237.47
20240117115001,-292047368421.31
20240117120001,-290345154465.31
20240117121001,-286696695116.98
20240117122001,-278247467469.0
20240117123001,-270400421380.48
20240117124001,-271006162089.47
20240117125001,-267639106381.91
20240117130001,-261066496242.16
20240117131001,-32463523961.75
20240117132001,-84096087300.28
20240117133001,-80602455143.59
20240117134001,-229685207927.45
20240117135001,-271968718635.78
20240117140001,-264100761657.41
20240117141001,-269735063085.45
20240117142001,-272510615042.72
20240117143001,-269194501133.25
20240117144001,-269234542766.7
20240117145001,-270266726820.64
20240117150001,-276234930921.66
20240117151001,-271218605179.19
20240117152001,-261040691886.44
20240117153001,-348069159773.81
20240117154001,-319358648234.58
20240117155001,-319261213392.08
20240117160001,-293556715117.44
20240117161001,-286082278568.88
20240117162001,-271407023282.25
20240117163001,-257360866370.58
20240117164001,-252297602981.48
20240117165001,-248094122136.86
20240119090001,96364173339.3
20240119091001,-197701516022.59
20240119092001,-181513131961.33
20240119093001,-162448424789.27
20240119094001,-145931254721.02
20240119095001,-133554388533.47
20240119100001,-117951947069.09
20240119101001,-119590984273.8
20240119102001,-99531909847.55
20240119103001,-100255773583.41
20240119104001,-110002349866.84
20240119105001,-113729780169.34
20240119110001,-112034684652.5
20240119111001,-225852112501.89
20240119112001,-249565652116.67
20240119113001,-275369809476.97
20240119114001,-269164914913.95
20240119115001,-277661525103.05
20240119120001,-273704967677.08
20240119121001,-277757180060.95
20240119122001,-275026786157.55
20240119123001,-261506064343.75
20240119124001,-260524154701.89
20240119125001,-271124507395.53
20240119130001,-272662105721.7
20240119131001,-267693607687.53
20240119132001,-278457241063.09
20240119133001,-247206977967.28
20240119134001,-251449610443.89
20240119135001,-248075213724.97
20240119140001,-245637568571.78
20240119141001,-238483465069.62
20240119142001,-234172761682.19
20240119143001,-225491292657.72
20240119144001,-225656797990.0
20240119145001,-221703799845.38
20240119150001,-222477493026.31
20240119151001,-32088022499.34
20240119152001,-86576888402.84
20240119153001,-76549130499.25
20240119154001,-229369101538.09
20240119155001,-271662177762.84
20240119160001,-266475007522.09
20240119161001,-271310478549.44
20240119162001,-273682944818.97
20240119163001,-269746630641.61
20240119164001,-269378470160.31
20240119165001,-270299872387.2
20240224090001,40574177995.83
20240224091001,-196683124059.44
20240224092001,-188340006529.95
20240224093001,-174442670988.45
20240224094001,-165035336254.09
20240224095001,-155886047512.06
20240224100001,-147429033960.91
20240224101001,-150048646029.59
20240224102001,-142755064117.94
20240224103001,-131457764702.2
20240224104001,-122201920705.2
20240224105001,-118126128213.44
20240224110001,-118205099224.39
20240224111001,-229571756972.44
20240224112001,-241446322996.86
20240224113001,-267609520268.78
20240224114001,-263557975281.42
20240224115001,-270940316058.44
20240224120001,-268301128061.41
20240224121001,-276850014862.8
20240224122001,-276196891479.45
20240224123001,-269255898329.42
20240224124001,-265173432238.06
20240224125001,-270634664865.38
20240224130001,-268814105704.92
20240224131001,-267255374336.8
20240224132001,-317959860533.22
20240224133001,-332430014022.97
20240224134001,-346636114849.39
20240224135001,-336435955971.8
20240224140001,-336974738280.27
20240224141001,-332847559099.55
20240224142001,-323683365998.97
20240224143001,-324211025592.67
20240224144001,-321167417205.88
20240224145001,-319091036483.16
20240224150001,-310864929724.53
20240224151001,-98498836772.42
20240224152001,27937485960.28
20240224153001,144651257412.67
20240224154001,212517806395.59
20240224155001,244844299529.83
20240224160001,249683329862.69
20240224161001,257630924938.12
20240224162001,272431199096.02
20240224163001,280871083721.41
20240224164001,286573900880.67
20240224165001,301594404020.77
20240226090001,53803930583.72
20240226091001,-206073997262.19
20240226092001,-198956820759.25
20240226093001,-185639643885.36
20240226094001,-178760270371.42
20240226095001,-171911817856.78
20240226100001,-166455701628.86
20240226101001,-170632932844.25
20240226102001,-160523757410.36
20240226103001,-159526720948.62
20240226104001,-150891967089.36
20240226105001,-146557238769.72
20240226110001,-140242007273.81
20240226111001,-215429722629.91
20240226112001,-229178236661.2
20240226113001,-256313555611.44
20240226114001,-254029403421.48
20240226115001,-265105806505.83
20240226120001,-263351538428.31
20240226121001,-271362532713.47
20240226122001,-268341169703.64
20240226123001,-260075243703.02
20240226124001,-257759058172.59
20240226125001,-263881867422.11
20240226130001,-260113283236.89
20240226131001,65576390360.23
20240226132001,157368254899.03
20240226133001,189473406691.28
20240226134001,221990987386.27
20240226135001,233301189059.44
20240226140001,241730395884.12
20240226141001,251376200740.66
20240226142001,264200198313.97
20240226143001,265702204155.81
20240226144001,272098631204.17
20240226145001,278360029002.06
20240226150001,282519019007.97
20240226151001,42409196471.55
20240226152001,-24784208306.75
20240226153001,-50476249218.66
20240226154001,-56928067087.7
20240226155001,-53883346465.83
20240226160001,-46725461197.42
20240226161001,-58819811325.95
20240226162001,-65222244568.66
20240226163001,-64040349267.67
20240226164001,-65240263238.08
20240226165001,-49212045906.02
20240327090001,92067261997.06
20240327091001,-191576259729.23
20240327092001,-177439786508.58
20240327093001,-163532440566.73
20240327094001,-148194718788.88
20240327095001,-138139821962.61
20240327100001,-127715652358.27
20240327101001,-116285548232.11
20240327102001,-113757587019.25
20240327103001,-112229999086.0
20240327104001,-104810286073.56
20240327105001,-105711445057.59
20240327110001,-101863889835.31
20240327111001,-110769814698.92
20240327112001,-37292544267.28
20240327113001,-49517697119.66
20240327114001,-32017282676.89
20240327115001,-40248060996.98
20240327120001,-33294610377.22
20240327121001,-30743958884.59
20240327122001,-20132038650.67
20240327123001,-14934413383.3
20240327124001,-8841635297.78
20240327125001,-12764157292.22
20240327130001,-21778194254.53
20240327131001,-181341398078.22
20240327132001,-247249244235.89
20240327133001,-274274003668.02
20240327134001,-270278739451.97
20240327135001,-270450918378.11
20240327140001,-269308397303.83
20240327141001,-269407834003.7
20240327142001,-273209786245.42
20240327143001,-261233781342.92
20240327144001,-255857525879.72
20240327145001,-261319203443.44
20240327150001,-254880510239.14
20240327151001,-232792660553.83
20240327152001,-278285506892.56
20240327153001,-299300018948.02
20240327154001,-311391699559.72
20240327155001,-303798917762.97
20240327160001,-304599305320.23
20240327161001,-297385139357.36
20240327162001,-286624397735.16
20240327163001,-287939765096.39
20240327164001,-286190613452.42
20240327165001,-286410842370.34
20240329090001,54978929819.02
20240329091001,-190671541405.06
20240329092001,-185223878263.69
20240329093001,-161317916229.38
20240329094001,-148790226727.22
20240329095001,-135428114188.7
20240329100001,-127887386487.59
20240329101001,-131460656584.95
20240329102001,-130895624800.47
20240329103001,-118247810337.56
20240329104001,-123315745364.56
20240329105001,-120416286832.11
20240329110001,-122152091180.83
20240329111001,-128679988244.86
20240329112001,-41742058504.11
20240329113001,-55900776884.39
20240329114001,-34124806849.33
20240329115001,-39805601051.62
20240329120001,-34376624102.47
20240329121001,-44703359050.97
20240329122001,-34965903406.55
20240329123001,-22500945665.22
20240329124001,-31509866363.86
20240329125001,-29532699906.47
20240329130001,-40955907887.5
20240329131001,-193825931579.3
20240329132001,-268106926322.33
20240329133001,-285592436094.09
20240329134001,-277602797433.08
20240329135001,-275192958956.67
20240329140001,-273998606253.66
20240329141001,-277417271172.12
20240329142001,-281052605780.06
20240329143001,-271722907287.44
20240329144001,-271185904659.77
20240329145001,-274597451039.14
20240329150001,-270442910016.34
20240329151001,-256773144367.81
20240329152001,-299017725202.38
20240329153001,-319197591845.97
20240329154001,-327788299801.98
20240329155001,-318462605478.08
20240329160001,-318172526164.39
20240329161001,-313242957352.72
20240329162001,-303926606112.02
20240329163001,-305223732203.3
20240329164001,-306332217937.06
20240329165001,-307877379695.86
20240428090001,59068514662.89
20240428091001,-203543144036.94
20240428092001,-181007050332.7
20240428093001,-169878815502.23
20240428094001,-165138777032.16
20240428095001,-157510180196.34
20240428100001,-153951591998.03
20240428101001,-158346605149.09
20240428102001,-152718532299.72
20240428103001,-157109986306.11
20240428104001,-153957820590.5
20240428105001,-155228252279.84
20240428110001,-140540094592.22
20240428111001,-169462827565.53
20240428112001,-70135129431.48
20240428113001,-94874624516.27
20240428114001,-82828324296.12
20240428115001,-96045619575.67
20240428120001,-92892119114.14
20240428121001,-106960076423.05
20240428122001,-91636591603.19
20240428123001,-92662992013.59
20240428124001,-81549216649.02
20240428125001,-79693509745.75
20240428130001,-73198313291.59
20240428131001,234903298840.72
20240428132001,54959576258.78
20240428133001,114707018708.45
20240428134001,110757579789.19
20240428135001,125124292145.3
20240428140001,138321566710.12
20240428141001,147256632727.05
20240428142001,165739401716.25
20240428143001,159157448373.19
20240428144001,163944647126.05
20240428145001,170078134228.11
20240428150001,179398489769.17
20240428151001,-19964753887.16
20240428152001,-32198360076.3
20240428153001,-17891265060.25
20240428154001,-1343619002.28
20240428155001,6831545975.88
20240428160001,18341510995.17
20240428161001,27413385942.5
20240428162001,36335994591.83
20240428163001,39608729997.78
