序號,答案
20240117090001,139.94
20240117091001,146.91
20240117092001,219.87
20240117093001,260.83
20240117094001,300.57
20240117095001,340.84
20240117100001,417.25
20240117101001,478.78
20240117102001,567.8
20240117103001,647.47
20240117104001,673.4
20240117105001,721.74
20240117110001,717.04
20240117111001,673.36
20240117112001,673.61
20240117113001,678.38
20240117114001,679.66
20240117115001,679.66
20240117120001,668.23
20240117121001,601.11
20240117122001,603.14
20240117123001,600.19
20240117124001,587.89
20240117125001,580.85
20240117130001,562.65
20240117131001,489.9
20240117132001,442.23
20240117133001,391.64
20240117134001,340.96
20240117135001,271.17
20240117140001,229.61
20240117141001,210.42
20240117142001,200.81
20240117143001,184.1
20240117144001,153.76
20240117145001,130.33
20240117150001,113.69
20240117151001,94.47
20240117152001,82.46
20240117153001,80.08
20240117154001,78.05
20240117155001,70.41
20240117160001,62.34
20240117161001,55.35
20240117162001,52.37
20240117163001,52.37
20240117164001,52.37
20240117165001,52.37
20240119090001,313.85
20240119091001,360.91
20240119092001,457.11
20240119093001,551.11
20240119094001,650.56
20240119095001,671.9
20240119100001,652.61
20240119101001,656.14
20240119102001,693.94
20240119103001,773.99
20240119104001,822.3
20240119105001,835.13
20240119110001,832.39
20240119111001,791.19
20240119112001,777.26
20240119113001,763.15
20240119114001,738.0
20240119115001,729.81
20240119120001,708.65
20240119121001,693.1
20240119122001,686.58
20240119123001,682.26
20240119124001,682.26
20240119125001,678.53
20240119130001,661.86
20240119131001,523.87
20240119132001,479.3
20240119133001,415.99
20240119134001,349.93
20240119135001,272.48
20240119140001,229.61
20240119141001,211.69
20240119142001,200.81
20240119143001,184.1
20240119144001,153.76
20240119145001,152.34
20240119150001,138.66
20240119151001,113.69
20240119152001,94.47
20240119153001,82.46
20240119154001,80.08
20240119155001,78.05
20240119160001,70.41
20240119161001,62.34
20240119162001,55.35
20240119163001,52.37
20240119164001,52.37
20240119165001,52.37
20240224090001,127.05
20240224091001,130.29
20240224092001,192.84
20240224093001,277.07
