序號,答案
20240117090001,186.32
20240117091001,240.13
20240117092001,263.64
20240117093001,459.69
20240117094001,454.3
20240117095001,387.46
20240117100001,336.74
20240117101001,278.99
20240117102001,310.58
20240117103001,315.53
20240117104001,278.07
20240117105001,538.64
20240117110001,744.71
20240117111001,858.06
20240117112001,863.58
20240117113001,847.63
20240117114001,596.94
20240117115001,333.62
20240117120001,241.45
20240117121001,204.43
20240117122001,171.36
20240117123001,110.73
20240117124001,93.42
20240117125001,101.26
20240117130001,125.81
20240117131001,121.61
20240117132001,108.58
20240117133001,93.84
20240117134001,82.26
20240117135001,80.19
20240117140001,84.47
20240117141001,86.1
20240117142001,93.79
20240117143001,95.05
20240117144001,96.49
20240117145001,89.27
20240117150001,76.11
20240117151001,51.13
20240117152001,44.51
20240117153001,38.34
20240117154001,36.36
20240117155001,34.23
20240117160001,25.62
20240117161001,19.16
20240117162001,14.9
20240117163001,12.31
20240117164001,11.19
20240117165001,9.98
20240119090001,445.1
20240119091001,575.24
20240119092001,467.47
20240119093001,767.07
20240119094001,911.73
20240119095001,912.95
20240119100001,878.81
20240119101001,915.83
20240119102001,913.47
20240119103001,899.93
20240119104001,903.7
20240119105001,851.88
20240119110001,311.14
20240119111001,264.05
20240119112001,233.55
20240119113001,242.32
20240119114001,245.07
20240119115001,329.64
20240119120001,341.66
20240119121001,346.88
20240119122001,625.65
20240119123001,511.6
20240119124001,185.29
20240119125001,176.66
20240119130001,243.69
20240119131001,237.79
20240119132001,310.02
20240119133001,339.45
20240119134001,347.96
20240119135001,256.46
20240119140001,171.18
20240119141001,120.03
20240119142001,74.99
20240119143001,65.32
20240119144001,80.71
20240119145001,84.31
20240119150001,122.81
20240119151001,180.11
20240119152001,196.2
20240119153001,121.19
20240119154001,92.68
20240119155001,77.69
20240119160001,65.53
20240119161001,34.89
20240119162001,25.67
20240119163001,20.12
20240119164001,18.12
20240119165001,13.33
20240224090001,284.21
20240224091001,400.28
20240224092001,435.85
20240224093001,474.42
20240224094001,522.61
20240224095001,547.29
20240224100001,543.53
20240224101001,593.41
20240224102001,670.37
20240224103001,699.49
20240224104001,721.64
20240224105001,605.73
20240224110001,608.11
20240224111001,788.15
20240224112001,756.82
20240224113001,891.63
20240224114001,922.38
20240224115001,906.22
20240224120001,598.36
20240224121001,512.19
20240224122001,467.51
20240224123001,471.22
20240224124001,483.17
20240224125001,474.78
20240224130001,432.04
20240224131001,373.06
20240224132001,301.51
20240224133001,292.61
20240224134001,295.53
20240224135001,297.36
20240224140001,280.63
20240224141001,259.84
20240224142001,222.73
20240224143001,204.37
20240224144001,198.35
20240224145001,120.65
20240224150001,94.57
20240224151001,133.07
20240224152001,146.1
20240224153001,114.36
20240224154001,87.53
20240224155001,76.09
20240224160001,48.81
20240224161001,41.87
20240224162001,31.17
20240224163001,21.27
20240224164001,16.7
20240224165001,12.03
20240226090001,31.9
20240226091001,24.94
