序號,答案
20240117090001,153.36
20240117091001,177.8
20240117092001,181.87
20240117093001,183.67
20240117094001,164.77
20240117095001,162.96
20240117100001,162.17
20240117101001,162.17
20240117102001,153.25
20240117103001,151.3
20240117104001,146.24
20240117105001,138.22
20240117110001,123.11
20240117111001,115.39
20240117112001,102.28
20240117113001,95.13
20240117114001,90.61
20240117115001,86.94
20240117120001,84.65
20240117121001,84.65
20240117122001,78.74
20240117123001,78.74
20240117124001,78.74
20240117125001,76.24
20240117130001,65.0
20240117131001,60.23
20240117132001,60.18
20240117133001,55.36
20240117134001,51.89
20240117135001,51.21
20240117140001,47.98
20240117141001,47.98
20240117142001,47.98
20240117143001,47.98
20240117144001,47.98
20240117145001,47.98
20240117150001,47.98
20240117151001,47.98
20240117152001,49.44
20240117153001,54.53
20240117154001,57.76
20240117155001,57.76
20240117160001,59.38
20240117161001,60.42
20240117162001,63.19
20240117163001,63.19
20240117164001,63.19
20240117165001,66.34
20240119090001,391.76
20240119091001,471.68
20240119092001,474.06
20240119093001,475.09
20240119094001,490.58
20240119095001,463.49
20240119100001,452.93
20240119101001,431.46
20240119102001,420.82
20240119103001,419.29
20240119104001,406.11
20240119105001,375.38
20240119110001,340.66
20240119111001,311.33
20240119112001,290.44
20240119113001,281.78
20240119114001,271.49
20240119115001,269.67
20240119120001,264.09
20240119121001,247.29
20240119122001,241.93
20240119123001,239.22
20240119124001,239.22
20240119125001,239.22
20240119130001,225.07
20240119131001,223.05
20240119132001,218.78
20240119133001,217.84
20240119134001,217.84
20240119135001,214.06
20240119140001,205.14
20240119141001,205.61
20240119142001,207.33
20240119143001,205.94
20240119144001,205.94
20240119145001,202.49
20240119150001,206.5
20240119151001,206.5
20240119152001,203.07
20240119153001,208.76
20240119154001,213.33
20240119155001,215.93
20240119160001,237.35
20240119161001,237.35
20240119162001,235.67
20240119163001,258.52
20240119164001,273.58
20240119165001,273.47
20240224090001,335.31
20240224091001,510.29
20240224092001,496.34
20240224093001,493.64
20240224094001,517.38
20240224095001,508.57
20240224100001,520.91
20240224101001,496.78
20240224102001,487.47
20240224103001,495.9
20240224104001,477.47
20240224105001,494.96
20240224110001,456.96
20240224111001,451.81
20240224112001,443.31
20240224113001,412.73
20240224114001,393.83
20240224115001,379.82
20240224120001,352.08
20240224121001,341.49
20240224122001,329.47
20240224123001,308.29
20240224124001,291.87
20240224125001,278.83
20240224130001,280.64
20240224131001,272.81
20240224132001,264.29
20240224133001,247.87
20240224134001,244.42
20240224135001,250.7
20240224140001,252.86
20240224141001,251.37
20240224142001,251.37
20240224143001,251.37
20240224144001,247.91
20240224145001,218.98
20240224150001,238.7
20240224151001,240.97
20240224152001,240.97
20240224153001,240.97
20240224154001,263.81
20240224155001,278.88
20240224160001,275.85
20240224161001,283.37
20240224162001,284.29
20240224163001,295.69
20240224164001,297.98
20240224165001,302.99
20240226090001,210.49
20240226091001,297.4
20240226092001,306.77
20240226093001,307.54
20240226094001,310.49
20240226095001,308.4
20240226100001,306.06
20240226101001,288.48
20240226102001,280.35
20240226103001,295.71
20240226104001,295.78
20240226105001,284.94
20240226110001,272.55
20240226111001,279.36
20240226112001,260.36
20240226113001,260.75
20240226114001,252.74
20240226115001,229.78
20240226120001,215.94
20240226121001,210.31
20240226122001,205.32
20240226123001,202.08
20240226124001,193.17
20240226125001,160.65
20240226130001,152.38
20240226131001,149.92
20240226132001,145.49
20240226133001,136.39
20240226134001,136.39
20240226135001,133.86
20240226140001,133.86
20240226141001,133.86
20240226142001,127.45
20240226143001,127.45
20240226144001,129.41
20240226145001,129.41
20240226150001,129.41
20240226151001,134.44
20240226152001,134.44
20240226153001,134.44
20240226154001,134.44
20240226155001,134.44
20240226160001,136.69
20240226161001,136.69
20240226162001,154.59
20240226163001,154.84
20240226164001,154.84
20240226165001,165.95
20240327090001,341.6
20240327091001,410.17
20240327092001,403.53
20240327093001,390.59
20240327094001,384.81
20240327095001,361.08
20240327100001,327.87
20240327101001,325.2
20240327102001,319.15
20240327103001,319.15
20240327104001,301.03
20240327105001,268.82
20240327110001,247.95
20240327111001,242.61
20240327112001,228.52
20240327113001,214.88
20240327114001,220.51
20240327115001,227.88
20240327120001,226.31
20240327121001,228.54
20240327122001,215.0
20240327123001,215.0
20240327124001,210.01
20240327125001,210.01
20240327130001,196.43
20240327131001,186.19
20240327132001,171.41
20240327133001,148.51
20240327134001,141.06
20240327135001,140.8
20240327140001,139.41
20240327141001,139.41
20240327142001,141.38
20240327143001,141.38
20240327144001,141.38
20240327145001,141.38
20240327150001,141.38
20240327151001,141.38
20240327152001,159.28
20240327153001,159.54
20240327154001,159.54
20240327155001,159.54
20240327160001,159.54
20240327161001,159.54
20240327162001,170.64
20240327163001,172.58
20240327164001,178.22
20240327165001,182.39
20240329090001,384.66
20240329091001,585.9
20240329092001,547.71
20240329093001,535.38
20240329094001,550.83
20240329095001,539.47
20240329100001,520.5
20240329101001,480.82
20240329102001,474.59
20240329103001,433.18
20240329104001,406.12
20240329105001,403.13
20240329110001,370.85
20240329111001,330.0
20240329112001,316.38
20240329113001,310.44
20240329114001,292.53
20240329115001,293.06
20240329120001,290.45
20240329121001,288.64
20240329122001,278.05
20240329123001,270.18
20240329124001,254.86
20240329125001,246.02
20240329130001,243.16
20240329131001,238.76
20240329132001,241.03
20240329133001,226.06
20240329134001,223.84
20240329135001,223.84
20240329140001,226.93
20240329141001,226.93
20240329142001,217.19
20240329143001,217.19
20240329144001,213.77
20240329145001,218.34
20240329150001,245.27
20240329151001,243.59
20240329152001,241.32
20240329153001,266.44
20240329154001,278.69
20240329155001,278.58
20240329160001,283.15
20240329161001,284.07
20240329162001,291.7
20240329163001,294.0
20240329164001,294.0
20240329165001,307.54
20240428090001,155.33
20240428091001,125.06
20240428092001,133.74
20240428093001,126.59
20240428094001,127.8
20240428095001,127.8
20240428100001,130.84
20240428101001,130.58
20240428102001,130.58
20240428103001,126.69
20240428104001,126.69
20240428105001,126.69
20240428110001,122.45
20240428111001,116.45
20240428112001,106.71
20240428113001,98.3
20240428114001,96.92
20240428115001,97.31
20240428120001,97.31
20240428121001,96.15
20240428122001,96.15
20240428123001,93.65
20240428124001,87.12
20240428125001,85.15
