Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240101090001,1.92,1017.91,18.33,92.29,8395.25,17.37
20240101091001,0.09,1017.96,18.02,97.37,7046.5,12.61
20240101092001,0.02,1018.16,17.73,99.93,5919.58,8.81
20240101093001,0.02,1018.2,17.9,100,8838.92,17.56
20240101094001,0.04,1018.13,18.08,100,5774.67,7.51
20240101095001,0.02,1018.03,17.83,100,5437.75,7.03
20240101100001,0,1018.04,17.75,100,9312.75,19.71
20240101101001,0.04,1017.87,17.99,100,9500.67,20.35
20240101102001,0.02,1017.82,18.13,100,9711.58,20.43
20240101103001,0.01,1017.82,18.2,100,7952.5,14.01
20240101104001,0.58,1017.71,18.11,95.79,6422.5,9.33
20240101105001,0.03,1017.55,18.21,93.92,7941.42,13.53
20240101110001,0.2,1017.46,18.64,92.71,7700.92,13.2
20240101111001,0.35,1017.28,18.78,87.1,6558.92,9.47
20240101112001,0.25,1017.09,18.8,86.15,6868.25,10.26
20240101113001,0.17,1016.87,18.94,84.1,8485.08,15.88
20240101114001,0.06,1016.56,19.38,84.1,10389.83,22.82
20240101115001,0.15,1016.36,19.77,80.9,9784.75,20.51
20240101120001,0.43,1016.17,19.87,80.09,11379,27.05
20240101121001,0.97,1015.97,19.96,77.42,9266.17,18.22
20240101122001,0.4,1015.82,19.81,78,9845.92,20.46
20240101123001,1.27,1015.67,20.04,76.07,16415.58,55.61
20240101124001,0.75,1015.51,20.35,74.86,13374.75,37.65
20240101125001,1.37,1015.42,20.29,74.1,10362.5,23.23
20240101130001,0.39,1015.34,19.9,75.45,7872.25,13.66
20240101131001,0.14,1015.27,19.88,77.24,6294.5,8.64
20240101132001,0.32,1015.05,19.67,76.37,6342.5,8.51
20240101133001,0.04,1015,19.49,77.68,5682,6.83
20240101134001,0.11,1014.93,19.31,78.29,4557.08,4.3
20240101135001,0,1015,19.04,80.3,3202,2.37
20240101140001,0.11,1014.91,18.23,86.75,3045.08,2.15
20240101141001,0.26,1014.93,17.87,89.61,3755.25,3.02
20240101142001,0.04,1014.91,17.96,89.18,4500.33,4.3
20240101143001,0.08,1014.79,18.2,88.3,4435.83,4.3
20240101144001,0.02,1014.74,18.44,87.16,4597.33,4.65
20240101145001,0.01,1014.66,18.71,85.76,4781.25,5.03
20240101150001,0.07,1014.56,18.82,84.23,3589.83,2.98
20240101151001,0,1014.54,18.7,84.73,3289.67,2.45
20240101152001,0.14,1014.59,18.58,85.6,2496.08,1.49
20240101153001,0.23,1014.63,18.43,84.87,2351.25,1.33
20240101154001,0.05,1014.77,18.4,84.3,2545.17,1.52
20240101155001,0.02,1014.96,18.29,86.6,2437,1.46
20240101160001,0,1015.07,18.2,87.58,1810.67,0.86
20240101161001,0.07,1015.17,17.98,89.35,1130,0.36
20240101162001,0.08,1015.32,17.68,90.42,1000.58,0.29
20240101163001,0,1015.47,17.5,91.18,795.42,0.21
20240101164001,0.02,1015.58,17.5,91.84,663.17,0.15
20240101165001,0.16,1015.69,17.44,93.07,368.67,0.06
20240102090001,0.16,1014.78,31.01,47.78,70884.74,1277.55
20240102091001,0.08,1014.7,32.07,45.06,75632.26,1369.8
20240102092001,0.67,1014.66,32.71,41.56,81495.07,1462.67
20240102093001,0.71,1014.54,32.2,41.67,89049.71,1540.4
20240102094001,0.22,1014.44,32.89,39.65,97289.46,1594.3
20240102095001,0.47,1014.27,33.88,37.9,102983.39,1631.14
20240102100001,0.46,1014.15,34.5,36.79,106164.94,1659.6
20240102101001,0.19,1014,34.81,35.28,106549.29,1671.31
20240102102001,0.12,1013.71,35.57,34.22,105218.34,1674.38
20240102103001,0.03,1013.55,37.08,32.38,105219.6,1669.7
20240102104001,0.17,1013.4,37.96,29.79,105003.8,1689.69
20240102105001,0.95,1013.25,37.9,29.29,106520.36,1708.54
20240102110001,0.36,1013.1,37.48,29.8,110266.48,1710.23
20240102111001,1.52,1012.91,37.33,29.07,111173.91,1734.19
20240102112001,2.43,1012.66,36.94,29.58,111791.31,1727.19
20240102113001,0.73,1012.47,37.33,29.77,115772.11,1760.06
20240102114001,1.31,1012.24,38.76,28.02,117015.55,1766.71
20240102115001,0,1011.97,39.27,26.87,112245.02,1728.95
20240102120001,0,1011.71,38.15,27.69,108139.88,1705.11
20240102121001,0.53,1011.46,39.16,27.13,112015.2,1703.99
20240102122001,0.44,1011.28,39.46,25.97,112181.24,1733.1
20240102123001,1.31,1011.13,38.74,27.29,105787.42,1664.08
20240102124001,1.3,1010.93,37.61,29.05,108307.89,1791.86
20240102125001,2.67,1010.77,36.18,31.07,108356.05,1791.78
20240102130001,2.81,1010.64,35.78,32.03,84260.32,1329.92
20240102131001,1.98,1010.51,33.88,34.45,44256.17,417.97
20240102132001,3.33,1010.49,31.71,38.28,37400.8,291.34
20240102133001,2.85,1010.44,29.72,42.1,30432.31,195.89
20240102134001,1.21,1010.3,28.73,44.72,27421.75,160.57
20240102135001,1.49,1010.24,28.55,45.71,23782.67,122.99
20240102140001,1.88,1010.22,27.71,47.44,21780.62,105.78
20240102141001,3.7,1010.17,27.12,48.79,18929.33,81.01
20240102142001,3.83,1010.11,26.8,49.93,15685.08,56.43
20240102143001,2.95,1010.05,26.07,51.61,12507.5,36.42
20240102144001,3.32,1010.03,25.55,53.08,10567.58,26.28
20240102145001,3.14,1009.98,25.21,54.29,9687,22.13
20240102150001,3.1,1009.94,24.81,55.6,9726.58,22.02
20240102151001,3.06,1009.96,24.54,56.47,9151.08,19.7
20240102152001,3.53,1010.01,24.49,56.87,8138.25,15.99
20240102153001,2.69,1010.09,24.32,58.04,7892.42,14.8
20240102154001,1.01,1010.16,24.3,58.36,7334.17,12.8
20240102155001,0.42,1010.2,24.3,58.11,6381.58,9.86
20240102160001,1.33,1010.25,24.25,58.25,5305.17,6.89
20240102161001,3.54,1010.39,23.99,59.04,4407.25,4.8
20240102162001,0,1010.38,23.57,60.38,3978.5,3.92
20240102163001,0,1010.36,23.26,61.26,3725.84,3.5
20240102164001,1.5,1010.35,23.05,62.34,2538.58,1.72
20240102165001,0,1010.42,22.65,63.57,1448,0.58
20240103090001,0.26,1012.62,23.43,77.24,27053.08,158.7
20240103091001,0.5,1012.58,24.96,71.15,62447.72,1029.72
20240103092001,0.36,1012.39,28.51,58.7,60496.41,882.33
20240103093001,0.56,1012.34,28.97,55,56866.24,781.44
20240103094001,0.19,1012.29,30.12,54.29,89005.5,1430.35
20240103095001,0.49,1012.14,33.26,45.19,71760,1030.75
20240103100001,0.22,1012.01,33.13,44.45,58968.46,721.26
20240103101001,0.21,1011.92,32.12,45.62,73779.69,1056.06
20240103102001,0.49,1011.75,34.41,41.31,103910.2,1704.66
20240103103001,0.31,1011.65,36.03,38.21,85941.83,1370.82
20240103104001,0.23,1011.6,37.98,35.29,103057.61,1598.03
20240103105001,1.15,1011.45,37.61,34.42,48948.67,520.26
20240103110001,0.32,1011.31,35.62,37.43,49706.23,533.71
20240103111001,0.8,1011.23,35.11,38.05,46459.28,463.55
20240103112001,0.38,1011.21,33.63,40.73,36716.87,295.84
20240103113001,0,1011.14,30.83,47.04,25478.75,149.17
20240103114001,0.81,1011.06,28.52,53.43,23165.25,116.22
20240103115001,0.96,1010.94,27.2,57.9,18032.75,70.75
20240103120001,0.67,1010.84,25.68,63.04,14209.92,44.42
20240103121001,0.72,1010.77,24.74,66.98,12200,33.39
20240103122001,0.48,1010.67,23.59,71.64,11248.25,27.95
20240103123001,0,1010.53,22.67,76.32,10324.5,23.36
20240103124001,1.2,1010.56,22.18,79.55,9463.33,19.22
20240103125001,0.21,1010.52,21.71,81.1,6845.5,10.22
20240103130001,1.15,1010.46,21.31,83.55,4715.34,4.92
20240103131001,0.46,1010.44,21.05,84.57,5141.63,5.86
20240103132001,0,1010.44,20.82,84.07,5410.42,6.28
20240103133001,1.06,1010.5,20.55,84.74,3648.08,2.96
20240103134001,0.22,1010.57,20.21,86.1,4573.33,4.49
20240103135001,2.19,1010.61,20,87.58,5202.83,5.93
20240103140001,1.13,1010.66,19.96,87.86,6338.75,8.69
20240103141001,0,1010.8,19.6,89.45,5172.42,6.3
20240103142001,0,1010.81,19.35,89.87,6848.75,10.75
20240103143001,0.31,1010.85,19.35,86.97,5038.83,5.72
20240103144001,0,1011.01,19.22,87.61,4456,4.66
20240103145001,0,1011.06,19.09,87.6,4097.42,4.04
20240103150001,0,1011.14,19.09,86.13,3497.33,2.93
20240103151001,0,1011.27,19,86.57,2998.5,2.14
20240103152001,0,1011.43,18.8,88.49,2011.92,1.02
20240103153001,0,1011.57,18.7,88,1997.92,1
20240103154001,0,1011.76,18.62,87.36,1356.92,0.49
20240103155001,0,1011.92,18.51,87.75,1372.67,0.52
20240103160001,0,1012.12,18.47,88.2,957.83,0.26
20240103161001,0,1012.3,18.25,88.96,669.42,0.14
20240103162001,0,1012.43,18.15,88.8,478.25,0.08
20240103163001,0,1012.66,18.02,89.72,367.42,0.06
20240103164001,0,1012.82,17.81,89.19,261.25,0.03
20240103165001,0,1013.03,17.71,89.97,186.42,0.02
20240104090001,0,1017.35,17.66,86.06,10590,25.63
20240104091001,0,1017.36,17.84,84.15,11364.92,29.53
20240104092001,0,1017.32,18.16,80.32,12011.75,32.91
20240104093001,0,1017.3,18.28,80.31,12240.33,34.16
20240104094001,0,1017.25,18.73,80,13402.42,41.42
20240104095001,0,1017.08,19.18,77.97,15764.75,57.31
20240104100001,0,1016.95,19.88,75.4,18355.58,76.9
20240104101001,0,1016.81,20.56,73.03,20712.42,97.83
20240104102001,0,1016.64,21.37,70.07,22851.42,117.99
20240104103001,0,1016.54,22.24,65.76,25700.67,147.2
20240104104001,0,1016.39,23.24,62.42,29497.58,193.33
20240104105001,0.5,1016.23,24.47,57.28,33309.41,247.84
20240104110001,0.6,1016.04,25.91,54.3,43835.63,425.07
20240104111001,1.3,1015.78,28.45,48.67,49166.45,529.18
20240104112001,0.96,1015.61,30.33,43.26,51994.55,601.08
20240104113001,0.99,1015.39,31.91,38.31,74543.72,1109.46
20240104114001,2.3,1015.09,33.8,33.23,73197.14,1080.19
20240104115001,4.49,1014.82,32.79,33.15,70196.72,1035.38
20240104120001,4.22,1014.63,31.86,33.63,60935.98,821.69
20240104121001,2.77,1014.45,30.95,34.51,85285.8,1381.83
20240104122001,3.51,1014.26,31.04,34.37,48102.52,522.7
20240104123001,3.55,1014.04,30.04,35.72,62282.56,887.83
20240104124001,3.56,1013.86,28.22,38.13,35363.83,296.63
20240104125001,3.71,1013.67,26.52,41.53,35890.83,360.93
20240104130001,3.33,1013.49,26.3,42.56,47234.28,539.44
20240104131001,3.89,1013.49,26.97,41.93,38806.2,346.62
20240104132001,4.16,1013.48,25.77,43.85,30748.92,224.31
20240104133001,3.63,1013.47,25.39,45.49,31456.92,228.43
20240104134001,3.5,1013.5,25.04,47.07,22098.92,119.38
20240104135001,3.77,1013.49,23.4,51.47,13436.25,48.05
20240104140001,3.85,1013.48,22.47,53.59,8502.42,20.29
20240104141001,4.17,1013.45,21.61,56.2,6417.25,11.9
20240104142001,3.66,1013.45,20.93,58.03,4917.42,6.89
20240104143001,3.49,1013.39,20.42,59.98,4155.58,4.81
20240104144001,3.39,1013.44,20.06,61.79,3771.17,3.91
20240104145001,3.21,1013.47,19.72,63,3234.75,2.89
20240104150001,3.12,1013.53,19.55,63.94,3109.42,2.64
20240104151001,3.13,1013.62,19.36,64.38,3105.5,2.62
20240104152001,3.13,1013.68,19.24,64.8,3208.25,2.78
20240104153001,3.26,1013.75,19.2,65.82,3489.41,3.28
20240104154001,3.45,1013.84,19.2,66.45,3775.25,3.69
20240104155001,3.9,1013.95,19.21,66.68,4288.92,4.63
20240104160001,4.49,1014.07,19.3,67.02,4503.08,5.09
20240104161001,4.22,1014.14,19.37,67.06,3683.61,3.48
20240104162001,1.34,1014.25,19.25,67.51,2918.83,2.25
20240104163001,0.58,1014.39,19.02,68.53,2238.42,1.35
20240104164001,2.18,1014.58,18.78,69.59,1704.33,0.82
