Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),ElevationAngle(degree),Azimuth(degree),Datetime,Date,Month,Hour,Minute,DeviceID,DeviceID_01,DeviceID_02,DeviceID_03,DeviceID_04,DeviceID_05,DeviceID_06,DeviceID_07,DeviceID_08,DeviceID_09,DeviceID_10,DeviceID_11,DeviceID_12,DeviceID_13,DeviceID_14,DeviceID_15,DeviceID_16,DeviceID_17
20240101070001,0.0,1016.73,17.5,86.99,470.83,0.08,3.97,119.87,2024-01-01 07:00:00,2024-01-01,1,7,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101071001,0.0,1016.77,17.57,86.97,659.67,0.14,5.99,121.9,2024-01-01 07:10:00,2024-01-01,1,7,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101072001,0.68,1016.92,17.63,86.18,889.67,0.25,7.99,123.92,2024-01-01 07:20:00,2024-01-01,1,7,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101073001,0.61,1016.99,17.74,85.41,1263.83,0.45,9.96,125.95,2024-01-01 07:30:00,2024-01-01,1,7,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101074001,0.0,1017.09,17.9,85.41,2136.83,1.13,11.91,127.98,2024-01-01 07:40:00,2024-01-01,1,7,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101075001,0.0,1017.27,18.13,85.19,2598.0,1.6,13.83,130.01,2024-01-01 07:50:00,2024-01-01,1,7,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101080001,0.0,1017.42,18.29,84.38,2160.17,1.18,15.72,132.04,2024-01-01 08:00:00,2024-01-01,1,8,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101081001,0.0,1017.44,18.3,83.79,2424.67,1.44,17.59,134.06,2024-01-01 08:10:00,2024-01-01,1,8,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101082001,0.0,1017.55,18.28,84.88,3204.5,2.37,19.41,136.09,2024-01-01 08:20:00,2024-01-01,1,8,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101083001,1.83,1017.64,18.23,85.92,4376.42,4.18,21.2,138.12,2024-01-01 08:30:00,2024-01-01,1,8,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101084001,0.38,1017.75,18.48,85.48,6681.33,9.76,22.95,140.15,2024-01-01 08:40:00,2024-01-01,1,8,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101085001,1.43,1017.91,18.77,87.74,6693.83,11.86,24.66,142.18,2024-01-01 08:50:00,2024-01-01,1,8,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240102070001,0.0,1014.65,12.99,100.0,4352.58,8.3,3.97,119.66,2024-01-02 07:00:00,2024-01-02,1,7,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240102071001,0.07,1014.81,14.44,100.0,8052.67,35.99,5.99,121.69,2024-01-02 07:10:00,2024-01-02,1,7,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240102072001,0.39,1014.85,15.55,100.0,8764.0,28.9,7.99,123.72,2024-01-02 07:20:00,2024-01-02,1,7,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
