Serial,Datetime,Date,Month,Hour,Minute,DeviceID,Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),ElevationAngle(degree),Azimuth(degree)
20240117090001,2024-01-17 09:00:00,2024-01-17,1,9,0,1,1015.28656,25.357243,62.262024,27931.58,26.7,142.49
20240117091001,2024-01-17 09:10:00,2024-01-17,1,9,10,1,1015.24744,25.421404,61.983837,27766.918,28.39,144.57
20240117092001,2024-01-17 09:20:00,2024-01-17,1,9,20,1,1015.20734,25.454662,61.81121,27541.865,30.02,146.65
20240117093001,2024-01-17 09:30:00,2024-01-17,1,9,30,1,1015.16675,25.484709,61.679203,27378.807,31.6,148.72
20240117094001,2024-01-17 09:40:00,2024-01-17,1,9,40,1,1015.12573,25.499128,61.577156,26865.188,33.12,150.8
20240117095001,2024-01-17 09:50:00,2024-01-17,1,9,50,1,1015.0861,25.476143,61.532097,26291.166,34.57,152.88
20240117100001,2024-01-17 10:00:00,2024-01-17,1,10,0,1,1015.04767,25.421062,61.556255,25675.37,35.96,154.95
20240117101001,2024-01-17 10:10:00,2024-01-17,1,10,10,1,1015.01044,25.352543,61.600758,25079.389,37.27,157.03
20240117102001,2024-01-17 10:20:00,2024-01-17,1,10,20,1,1014.97516,25.280304,61.66796,24494.795,38.49,159.11
20240117103001,2024-01-17 10:30:00,2024-01-17,1,10,30,1,1014.9417,25.207132,61.762295,23842.398,39.63,161.18
20240117104001,2024-01-17 10:40:00,2024-01-17,1,10,40,1,1014.91,25.125614,61.90031,23206.463,40.68,163.26
20240117105001,2024-01-17 10:50:00,2024-01-17,1,10,50,1,1014.8801,25.037815,62.07657,22618.47,41.62,165.34
20240117110001,2024-01-17 11:00:00,2024-01-17,1,11,0,1,1014.8336,24.93763,62.210663,21990.377,42.46,167.42
20240117111001,2024-01-17 11:10:00,2024-01-17,1,11,10,1,1014.8083,24.835602,62.433125,21063.562,43.19,169.49
20240117112001,2024-01-17 11:20:00,2024-01-17,1,11,20,1,1014.76575,24.741066,62.607635,20378.701,43.8,171.57
20240117113001,2024-01-17 11:30:00,2024-01-17,1,11,30,1,1014.74493,24.618587,62.888577,19387.93,44.29,173.65
20240117114001,2024-01-17 11:40:00,2024-01-17,1,11,40,1,1014.7274,24.483715,63.19891,18400.33,44.65,175.72
20240117115001,2024-01-17 11:50:00,2024-01-17,1,11,50,1,1014.7119,24.402056,63.40097,17914.496,44.89,177.8
20240117120001,2024-01-17 12:00:00,2024-01-17,1,12,0,1,1014.701,24.27387,63.75724,17587.639,44.99,179.88
20240117121001,2024-01-17 12:10:00,2024-01-17,1,12,10,1,1014.6924,24.180513,64.08005,17354.867,44.97,181.95
20240117122001,2024-01-17 12:20:00,2024-01-17,1,12,20,1,1014.6864,24.10646,64.368744,17127.303,44.81,184.03
20240117123001,2024-01-17 12:30:00,2024-01-17,1,12,30,1,1014.68353,24.04019,64.647316,16980.664,44.52,186.11
20240117124001,2024-01-17 12:40:00,2024-01-17,1,12,40,1,1014.6829,23.990662,64.88767,16939.914,44.11,188.18
20240117125001,2024-01-17 12:50:00,2024-01-17,1,12,50,1,1014.6846,23.951717,65.09492,16920.371,43.57,190.26
20240117130001,2024-01-17 13:00:00,2024-01-17,1,13,0,1,1014.6881,23.91743,65.28153,16887.05,42.91,192.34
20240117131001,2024-01-17 13:10:00,2024-01-17,1,13,10,1,1014.6939,23.887325,65.45703,16867.146,42.14,194.42
20240117132001,2024-01-17 13:20:00,2024-01-17,1,13,20,1,1014.7012,23.86529,65.62218,16855.898,41.26,196.49
20240117133001,2024-01-17 13:30:00,2024-01-17,1,13,30,1,1014.70996,23.846285,65.77353,16840.08,40.27,198.57
20240117134001,2024-01-17 13:40:00,2024-01-17,1,13,40,1,1014.72015,23.828968,65.91766,16800.695,39.19,200.65
20240117135001,2024-01-17 13:50:00,2024-01-17,1,13,50,1,1014.73157,23.81124,66.066,16723.12,38.01,202.72
20240117140001,2024-01-17 14:00:00,2024-01-17,1,14,0,1,1014.74176,23.804945,66.14591,16685.855,36.75,204.8
20240117141001,2024-01-17 14:10:00,2024-01-17,1,14,10,1,1014.7557,23.779528,66.302704,16622.893,35.41,206.88
20240117142001,2024-01-17 14:20:00,2024-01-17,1,14,20,1,1014.7671,23.760643,66.4051,16623.348,34.0,208.95
20240117143001,2024-01-17 14:30:00,2024-01-17,1,14,30,1,1014.7788,23.747322,66.488785,16629.11,32.52,211.03
20240117144001,2024-01-17 14:40:00,2024-01-17,1,14,40,1,1014.7906,23.740475,66.55297,16655.346,30.98,213.11
20240117145001,2024-01-17 14:50:00,2024-01-17,1,14,50,1,1014.80273,23.7394,66.58532,16705.287,29.37,215.18
20240117150001,2024-01-17 15:00:00,2024-01-17,1,15,0,1,1014.81494,23.74418,66.59414,16780.115,27.72,217.26
20240117151001,2024-01-17 15:10:00,2024-01-17,1,15,10,1,1014.8264,23.7541,66.590515,16886.258,26.01,219.34
20240117152001,2024-01-17 15:20:00,2024-01-17,1,15,20,1,1014.84174,23.76877,66.61407,17031.273,24.26,221.42
20240117153001,2024-01-17 15:30:00,2024-01-17,1,15,30,1,1014.8516,23.790827,66.56707,17203.332,22.47,223.49
20240117154001,2024-01-17 15:40:00,2024-01-17,1,15,40,1,1014.86,23.820345,66.49464,17384.836,20.64,225.57
20240117155001,2024-01-17 15:50:00,2024-01-17,1,15,50,1,1014.8645,23.862593,66.34463,17588.848,18.77,227.65
20240117160001,2024-01-17 16:00:00,2024-01-17,1,16,0,1,1014.86804,23.910406,66.167015,17813.66,16.87,229.72
20240117161001,2024-01-17 16:10:00,2024-01-17,1,16,10,1,1014.87006,23.965727,65.96409,18077.734,14.94,231.8
20240117162001,2024-01-17 16:20:00,2024-01-17,1,16,20,1,1014.8703,24.029284,65.73241,18365.637,12.99,233.88
20240117163001,2024-01-17 16:30:00,2024-01-17,1,16,30,1,1014.8674,24.101925,65.456726,18673.527,11.0,235.95
20240117164001,2024-01-17 16:40:00,2024-01-17,1,16,40,1,1014.8626,24.18285,65.13822,18996.5,8.99,238.03
20240117165001,2024-01-17 16:50:00,2024-01-17,1,16,50,1,1014.85657,24.27114,64.776985,19338.623,6.97,240.11
20240119090001,2024-01-19 09:00:00,2024-01-19,1,9,0,1,1014.9352,28.408785,56.342327,46753.12,27.21,141.62
20240119091001,2024-01-19 09:10:00,2024-01-19,1,9,10,1,1014.8869,28.48855,56.03307,46570.945,28.92,143.71
20240119092001,2024-01-19 09:20:00,2024-01-19,1,9,20,1,1014.83746,28.522688,55.85737,46314.797,30.58,145.79
20240119093001,2024-01-19 09:30:00,2024-01-19,1,9,30,1,1014.78754,28.55809,55.71697,46125.39,32.19,147.88
20240119094001,2024-01-19 09:40:00,2024-01-19,1,9,40,1,1014.73804,28.582981,55.578156,45614.406,33.74,149.96
20240119095001,2024-01-19 09:50:00,2024-01-19,1,9,50,1,1014.6894,28.575058,55.499992,44935.51,35.22,152.05
20240119100001,2024-01-19 10:00:00,2024-01-19,1,10,0,1,1014.6423,28.543913,55.446865,44124.43,36.63,154.13
20240119101001,2024-01-19 10:10:00,2024-01-19,1,10,10,1,1014.5969,28.497189,55.389786,43270.156,37.97,156.22
20240119102001,2024-01-19 10:20:00,2024-01-19,1,10,20,1,1014.55536,28.432478,55.399364,42389.613,39.23,158.31
20240119103001,2024-01-19 10:30:00,2024-01-19,1,10,30,1,1014.5169,28.358015,55.473656,41468.574,40.4,160.39
20240119104001,2024-01-19 10:40:00,2024-01-19,1,10,40,1,1014.48083,28.26589,55.599358,40567.86,41.48,162.48
20240119105001,2024-01-19 10:50:00,2024-01-19,1,10,50,1,1014.4473,28.156013,55.795597,39693.65,42.45,164.56
20240119110001,2024-01-19 11:00:00,2024-01-19,1,11,0,1,1014.416,28.049541,56.004463,38783.32,43.32,166.65
20240119111001,2024-01-19 11:10:00,2024-01-19,1,11,10,1,1014.38654,27.945156,56.25546,37835.285,44.08,168.74
20240119112001,2024-01-19 11:20:00,2024-01-19,1,11,20,1,1014.35925,27.844639,56.51703,36892.02,44.71,170.82
20240119113001,2024-01-19 11:30:00,2024-01-19,1,11,30,1,1014.3341,27.75168,56.75919,35920.168,45.23,172.91
20240119114001,2024-01-19 11:40:00,2024-01-19,1,11,40,1,1014.3122,27.646507,57.018547,34914.742,45.61,174.99
20240119115001,2024-01-19 11:50:00,2024-01-19,1,11,50,1,1014.2941,27.583101,57.134872,34220.047,45.87,177.08
20240119120001,2024-01-19 12:00:00,2024-01-19,1,12,0,1,1014.2796,27.450457,57.4715,33693.03,45.99,179.17
20240119121001,2024-01-19 12:10:00,2024-01-19,1,12,10,1,1014.26776,27.349771,57.773964,33245.977,45.98,181.25
