序號,答案
20240117090001,243.04
20240117091001,290.1
20240117092001,335.05
20240117093001,373.24
20240117094001,407.01
20240117095001,434.79
20240117100001,459.2
20240117101001,479.0
20240117102001,498.28
20240117103001,522.49
20240117104001,552.94
20240117105001,588.86
20240117110001,627.52
20240117111001,666.18
20240117112001,704.03
20240117113001,738.33
20240117114001,765.0
20240117115001,781.5
20240117120001,786.69
20240117121001,780.41
20240117122001,763.81
20240117123001,739.54
20240117124001,710.57
20240117125001,679.12
20240117130001,646.76
20240117131001,614.78
20240117132001,584.27
20240117133001,556.09
20240117134001,530.79
20240117135001,508.72
20240117140001,489.99
20240117141001,474.61
20240117142001,462.61
20240117143001,454.03
20240117144001,448.96
20240117145001,447.36
20240117150001,449.06
20240117151001,453.68
20240117152001,460.68
20240117153001,469.4
20240117154001,479.1
20240117155001,489.07
20240117160001,498.68
20240117161001,507.39
20240117162001,514.82
20240117163001,520.72
20240117164001,524.97
20240117165001,527.57
20240119090001,389.21
20240119091001,317.91
20240119092001,354.35
20240119093001,344.41
20240119094001,474.72
20240119095001,370.19
20240119100001,491.17
20240119101001,440.6
20240119102001,432.21
20240119103001,477.56
20240119104001,513.39
20240119105001,573.82
20240119110001,627.52
20240119111001,666.18
20240119112001,704.03
20240119113001,738.33
20240119114001,765.0
20240119115001,781.5
20240119120001,786.69
20240119121001,780.41
20240119122001,763.81
20240119123001,739.54
20240119124001,710.57
20240119125001,679.12
20240119130001,646.76
20240119131001,614.78
20240119132001,584.27
20240119133001,556.09
20240119134001,530.79
20240119135001,508.72
20240119140001,489.99
20240119141001,474.61
20240119142001,462.61
20240119143001,454.03
20240119144001,448.96
20240119145001,447.36
20240119150001,449.06
20240119151001,453.68
20240119152001,460.68
20240119153001,469.4
20240119154001,479.1
20240119155001,489.07
20240119160001,498.68
20240119161001,507.39
20240119162001,514.82
20240119163001,520.72
20240119164001,524.97
20240119165001,527.57
20240224090001,155.73
20240224091001,379.96
20240224092001,299.88
20240224093001,385.9
20240224094001,406.64
20240224095001,444.2
20240224100001,459.66
20240224101001,488.81
20240224102001,501.87
20240224103001,518.65
20240224104001,548.41
20240224105001,585.6
20240224110001,627.52
20240224111001,666.18
20240224112001,704.03
20240224113001,738.33
20240224114001,765.0
20240224115001,781.5
20240224120001,786.69
20240224121001,780.41
20240224122001,763.81
20240224123001,739.54
20240224124001,710.57
20240224125001,679.12
20240224130001,646.76
20240224131001,614.78
20240224132001,584.27
20240224133001,556.09
20240224134001,530.79
20240224135001,508.72
20240224140001,489.99
20240224141001,474.61
20240224142001,462.61
20240224143001,454.03
20240224144001,448.96
20240224145001,447.36
20240224150001,449.06
20240224151001,453.68
20240224152001,460.68
20240224153001,469.4
20240224154001,479.1
20240224155001,489.07
20240224160001,498.68
20240224161001,507.39
20240224162001,514.82
20240224163001,520.72
20240224164001,524.97
20240224165001,527.57
20240226090001,114.07
20240226091001,317.07
20240226092001,395.45
20240226093001,410.04
20240226094001,428.32
20240226095001,471.2
20240226100001,461.78
20240226101001,486.69
20240226102001,504.25
20240226103001,533.7
20240226104001,566.62
20240226105001,593.39
20240226110001,627.52
20240226111001,666.18
20240226112001,704.03
20240226113001,738.33
20240226114001,765.0
20240226115001,781.5
20240226120001,786.69
20240226121001,780.41
20240226122001,763.81
20240226123001,739.54
20240226124001,710.57
20240226125001,679.12
20240226130001,646.76
20240226131001,614.78
20240226132001,584.27
20240226133001,556.09
20240226134001,530.79
20240226135001,508.72
20240226140001,489.99
20240226141001,474.61
20240226142001,462.61
20240226143001,454.03
20240226144001,448.96
20240226145001,447.36
20240226150001,449.06
20240226151001,453.68
20240226152001,460.68
20240226153001,469.4
20240226154001,479.1
20240226155001,489.07
20240226160001,498.68
20240226161001,507.39
20240226162001,514.82
20240226163001,520.72
20240226164001,524.97
20240226165001,527.57
20240327090001,230.29
20240327091001,333.51
20240327092001,292.59
20240327093001,323.39
20240327094001,395.01
20240327095001,385.03
20240327100001,453.32
20240327101001,466.06
20240327102001,478.75
20240327103001,498.57
20240327104001,528.26
20240327105001,579.8
20240327110001,627.52
20240327111001,666.18
20240327112001,704.03
20240327113001,738.33
20240327114001,765.0
20240327115001,781.5
20240327120001,786.69
20240327121001,780.41
20240327122001,763.81
20240327123001,739.54
20240327124001,710.57
20240327125001,679.12
20240327130001,646.76
20240327131001,614.78
20240327132001,584.27
20240327133001,556.09
20240327134001,530.79
20240327135001,508.72
20240327140001,489.99
20240327141001,474.61
20240327142001,462.61
20240327143001,454.03
20240327144001,448.96
20240327145001,447.36
20240327150001,449.06
20240327151001,453.68
20240327152001,460.68
20240327153001,469.4
20240327154001,479.1
20240327155001,489.07
20240327160001,498.68
20240327161001,507.39
20240327162001,514.82
20240327163001,520.72
20240327164001,524.97
20240327165001,527.57
20240329090001,56.14
20240329091001,313.43
20240329092001,259.06
20240329093001,327.89
20240329094001,380.41
20240329095001,433.85
20240329100001,471.06
20240329101001,509.42
20240329102001,518.49
20240329103001,531.59
20240329104001,554.5
20240329105001,585.82
20240329110001,627.52
20240329111001,666.18
20240329112001,704.03
20240329113001,738.33
20240329114001,765.0
20240329115001,781.5
20240329120001,786.69
20240329121001,780.41
